,lineup_ids,lineup_names,points_allowed,points_scored
37,203507 - 203898 - 202328 - 203948 - 1626173,"Antetokounmpo,Giannis - Ennis,Tyler - Monroe,Greg - O'Bryant III,Johnny - Vaughn,Rashad",11.5,10.0
38,201573 - 203487 - 203142 - 202328 - 202349,"Bayless,Jerryd - Carter-Williams,Michael - Copeland,Chris - Monroe,Greg - Vasquez,Greivis",13.0,6.0
39,203142 - 203948 - 203101 - 202349 - 1626173,"Copeland,Chris - O'Bryant III,Johnny - Plumlee,Miles - Vasquez,Greivis - Vaughn,Rashad",16.0,11.0
40,203507 - 201573 - 203089 - 201564 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Henson,John - Mayo,O.J. - Vasquez,Greivis",12.3,8.8
41,203507 - 203487 - 201564 - 202328 - 1626173,"Antetokounmpo,Giannis - Carter-Williams,Michael - Mayo,O.J. - Monroe,Greg - Vaughn,Rashad",10.5,10.0
42,201573 - 203142 - 201564 - 203101 - 202349,"Bayless,Jerryd - Copeland,Chris - Mayo,O.J. - Plumlee,Miles - Vasquez,Greivis",14.0,8.0
43,203089 - 203996 - 203948 - 202349 - 1626173,"Henson,John - Inglis,Damien - O'Bryant III,Johnny - Vasquez,Greivis - Vaughn,Rashad",7.0,4.0
44,203507 - 203114 - 203953 - 203101 - 1626173,"Antetokounmpo,Giannis - Middleton,Khris - Parker,Jabari - Plumlee,Miles - Vaughn,Rashad",8.5,10.5
45,203089 - 203996 - 203101 - 202349 - 1626173,"Henson,John - Inglis,Damien - Plumlee,Miles - Vasquez,Greivis - Vaughn,Rashad",9.0,6.5
46,203487 - 203089 - 201564 - 203114 - 202328,"Carter-Williams,Michael - Henson,John - Mayo,O.J. - Middleton,Khris - Monroe,Greg",10.0,9.5
47,201573 - 203487 - 203953 - 203101 - 1626173,"Bayless,Jerryd - Carter-Williams,Michael - Parker,Jabari - Plumlee,Miles - Vaughn,Rashad",3.0,18.0
48,203507 - 201573 - 203487 - 203114 - 202328,"Antetokounmpo,Giannis - Bayless,Jerryd - Carter-Williams,Michael - Middleton,Khris - Monroe,Greg",10.4,11.0
49,203507 - 201573 - 203142 - 203101 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Copeland,Chris - Plumlee,Miles - Vasquez,Greivis",6.0,6.0
50,203898 - 203089 - 203996 - 203101 - 202349,"Ennis,Tyler - Henson,John - Inglis,Damien - Plumlee,Miles - Vasquez,Greivis",14.0,12.0
51,203507 - 203487 - 203114 - 202328 - 203948,"Antetokounmpo,Giannis - Carter-Williams,Michael - Middleton,Khris - Monroe,Greg - O'Bryant III,Johnny",9.0,10.3
52,201573 - 203142 - 203089 - 203948 - 202349,"Bayless,Jerryd - Copeland,Chris - Henson,John - O'Bryant III,Johnny - Vasquez,Greivis",7.0,6.0
53,201573 - 203089 - 201564 - 203953 - 202349,"Bayless,Jerryd - Henson,John - Mayo,O.J. - Parker,Jabari - Vasquez,Greivis",10.0,6.0
54,203507 - 203487 - 203114 - 202328 - 200779,"Antetokounmpo,Giannis - Carter-Williams,Michael - Middleton,Khris - Monroe,Greg - Novak,Steve",8.0,8.0
55,203487 - 203089 - 201564 - 203948 - 203953,"Carter-Williams,Michael - Henson,John - Mayo,O.J. - O'Bryant III,Johnny - Parker,Jabari",8.0,6.5
56,203142 - 203898 - 203948 - 203101 - 1626173,"Copeland,Chris - Ennis,Tyler - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",9.3,7.9
57,203507 - 201573 - 203089 - 201564 - 1626173,"Antetokounmpo,Giannis - Bayless,Jerryd - Henson,John - Mayo,O.J. - Vaughn,Rashad",8.0,7.0
58,203507 - 203487 - 203142 - 201564 - 203101,"Antetokounmpo,Giannis - Carter-Williams,Michael - Copeland,Chris - Mayo,O.J. - Plumlee,Miles",8.0,7.0
59,203507 - 203487 - 203114 - 203948 - 203101,"Antetokounmpo,Giannis - Carter-Williams,Michael - Middleton,Khris - O'Bryant III,Johnny - Plumlee,Miles",12.5,7.0
60,203507 - 203089 - 201564 - 203114 - 203953,"Antetokounmpo,Giannis - Henson,John - Mayo,O.J. - Middleton,Khris - Parker,Jabari",9.3,8.3
61,201573 - 203487 - 203089 - 201564 - 203953,"Bayless,Jerryd - Carter-Williams,Michael - Henson,John - Mayo,O.J. - Parker,Jabari",8.0,8.5
62,201573 - 203898 - 202328 - 203953 - 1626173,"Bayless,Jerryd - Ennis,Tyler - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",12.0,13.0
63,201573 - 201564 - 203114 - 203948 - 203101,"Bayless,Jerryd - Mayo,O.J. - Middleton,Khris - O'Bryant III,Johnny - Plumlee,Miles",11.0,10.0
64,203898 - 203089 - 203101 - 202349 - 1626173,"Ennis,Tyler - Henson,John - Plumlee,Miles - Vasquez,Greivis - Vaughn,Rashad",4.0,10.0
65,203507 - 203898 - 203114 - 202328 - 203953,"Antetokounmpo,Giannis - Ennis,Tyler - Middleton,Khris - Monroe,Greg - Parker,Jabari",8.3,8.1
66,201573 - 203142 - 203089 - 201564 - 202349,"Bayless,Jerryd - Copeland,Chris - Henson,John - Mayo,O.J. - Vasquez,Greivis",11.0,13.0
67,201573 - 203142 - 203114 - 202328 - 202349,"Bayless,Jerryd - Copeland,Chris - Middleton,Khris - Monroe,Greg - Vasquez,Greivis",15.0,7.0
68,201573 - 201564 - 202328 - 203948 - 1626173,"Bayless,Jerryd - Mayo,O.J. - Monroe,Greg - O'Bryant III,Johnny - Vaughn,Rashad",6.5,3.0
69,201573 - 203114 - 202328 - 203953 - 202349,"Bayless,Jerryd - Middleton,Khris - Monroe,Greg - Parker,Jabari - Vasquez,Greivis",7.0,11.0
70,203487 - 201564 - 202328 - 203953 - 1626173,"Carter-Williams,Michael - Mayo,O.J. - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",10.1,7.3
71,203898 - 203089 - 203996 - 203948 - 1626173,"Ennis,Tyler - Henson,John - Inglis,Damien - O'Bryant III,Johnny - Vaughn,Rashad",8.0,6.0
72,203507 - 201573 - 203487 - 203089 - 1626173,"Antetokounmpo,Giannis - Bayless,Jerryd - Carter-Williams,Michael - Henson,John - Vaughn,Rashad",1.0,11.0
73,203507 - 201573 - 203898 - 203114 - 203101,"Antetokounmpo,Giannis - Bayless,Jerryd - Ennis,Tyler - Middleton,Khris - Plumlee,Miles",5.5,12.0
74,203507 - 203487 - 203948 - 203101 - 1626173,"Antetokounmpo,Giannis - Carter-Williams,Michael - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",9.0,10.0
75,203507 - 201564 - 203953 - 203101 - 1626173,"Antetokounmpo,Giannis - Mayo,O.J. - Parker,Jabari - Plumlee,Miles - Vaughn,Rashad",9.0,4.0
76,203487 - 203089 - 203114 - 203948 - 1626173,"Carter-Williams,Michael - Henson,John - Middleton,Khris - O'Bryant III,Johnny - Vaughn,Rashad",5.0,7.0
77,203507 - 201573 - 203898 - 203114 - 202328,"Antetokounmpo,Giannis - Bayless,Jerryd - Ennis,Tyler - Middleton,Khris - Monroe,Greg",8.8,8.8
78,203487 - 201564 - 203114 - 202328 - 203953,"Carter-Williams,Michael - Mayo,O.J. - Middleton,Khris - Monroe,Greg - Parker,Jabari",8.1,8.3
79,203487 - 202328 - 200779 - 203953 - 1626173,"Carter-Williams,Michael - Monroe,Greg - Novak,Steve - Parker,Jabari - Vaughn,Rashad",7.0,10.0
80,203507 - 201573 - 201564 - 203101 - 1626173,"Antetokounmpo,Giannis - Bayless,Jerryd - Mayo,O.J. - Plumlee,Miles - Vaughn,Rashad",8.0,6.0
81,203507 - 201573 - 202328 - 203948 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Monroe,Greg - O'Bryant III,Johnny - Vasquez,Greivis",6.7,10.7
