,lineup_ids,lineup_names,points_allowed,points_scored
1021,203501 - 202714 - 203934 - 203118 - 204002,"Hardaway Jr.,Tim - Mack,Shelvin - Patterson,Lamar - Scott,Mike - Tavares,Walter",10.5,12.5
1022,203200 - 201143 - 2594 - 200794 - 203471,"Holiday,Justin - Horford,Al - Korver,Kyle - Millsap,Paul - Schroder,Dennis",11.3,7.3
1023,203934 - 203471 - 203118 - 200757 - 201168,"Patterson,Lamar - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo - Splitter,Tiago",4.0,7.0
1024,201143 - 2594 - 203934 - 203471 - 203118,"Horford,Al - Korver,Kyle - Patterson,Lamar - Schroder,Dennis - Scott,Mike",8.2,10.4
1025,203145 - 201143 - 2594 - 200794 - 203471,"Bazemore,Kent - Horford,Al - Korver,Kyle - Millsap,Paul - Schroder,Dennis",7.9,10.1
1026,201143 - 2594 - 200794 - 201168 - 201952,"Horford,Al - Korver,Kyle - Millsap,Paul - Splitter,Tiago - Teague,Jeff",8.4,7.8
1027,203145 - 201143 - 2594 - 201168 - 201952,"Bazemore,Kent - Horford,Al - Korver,Kyle - Splitter,Tiago - Teague,Jeff",11.2,6.8
1028,203145 - 201143 - 200794 - 203471 - 201952,"Bazemore,Kent - Horford,Al - Millsap,Paul - Schroder,Dennis - Teague,Jeff",9.4,8.2
1029,201143 - 2594 - 200794 - 203934 - 203471,"Horford,Al - Korver,Kyle - Millsap,Paul - Patterson,Lamar - Schroder,Dennis",8.5,13.0
1030,203200 - 200794 - 203934 - 203471 - 201168,"Holiday,Justin - Millsap,Paul - Patterson,Lamar - Schroder,Dennis - Splitter,Tiago",10.5,6.5
1031,201143 - 202714 - 203118 - 200757 - 201952,"Horford,Al - Mack,Shelvin - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",8.0,4.0
1032,203501 - 203200 - 201143 - 203118 - 201952,"Hardaway Jr.,Tim - Holiday,Justin - Horford,Al - Scott,Mike - Teague,Jeff",9.0,14.0
1033,2594 - 200794 - 200757 - 204002 - 201952,"Korver,Kyle - Millsap,Paul - Sefolosha,Thabo - Tavares,Walter - Teague,Jeff",8.0,9.0
1034,201143 - 2594 - 200794 - 203471 - 201168,"Horford,Al - Korver,Kyle - Millsap,Paul - Schroder,Dennis - Splitter,Tiago",6.4,8.6
1035,203200 - 201143 - 2594 - 203118 - 201952,"Holiday,Justin - Horford,Al - Korver,Kyle - Scott,Mike - Teague,Jeff",6.2,7.6
1036,203200 - 201143 - 203118 - 200757 - 201952,"Holiday,Justin - Horford,Al - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",7.0,12.0
1037,203200 - 202714 - 200794 - 203488 - 200757,"Holiday,Justin - Mack,Shelvin - Millsap,Paul - Muscala,Mike - Sefolosha,Thabo",8.0,0.0
1038,203145 - 2550 - 2594 - 200794 - 200757,"Bazemore,Kent - Hinrich,Kirk - Korver,Kyle - Millsap,Paul - Sefolosha,Thabo",6.0,7.0
1039,203200 - 201143 - 203488 - 203934 - 203471,"Holiday,Justin - Horford,Al - Muscala,Mike - Patterson,Lamar - Schroder,Dennis",8.0,4.0
1040,2594 - 200794 - 203934 - 203471 - 201168,"Korver,Kyle - Millsap,Paul - Patterson,Lamar - Schroder,Dennis - Splitter,Tiago",3.0,8.0
1041,203934 - 203471 - 203118 - 201168 - 201952,"Patterson,Lamar - Schroder,Dennis - Scott,Mike - Splitter,Tiago - Teague,Jeff",6.0,10.0
1042,203145 - 200794 - 203471 - 200757 - 201168,"Bazemore,Kent - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago",5.6,8.1
1043,203200 - 201143 - 2594 - 203471 - 201168,"Holiday,Justin - Horford,Al - Korver,Kyle - Schroder,Dennis - Splitter,Tiago",8.0,5.0
1044,203145 - 201143 - 2594 - 202714 - 200794,"Bazemore,Kent - Horford,Al - Korver,Kyle - Mack,Shelvin - Millsap,Paul",9.0,4.0
1045,203501 - 2550 - 203488 - 203118 - 204002,"Hardaway Jr.,Tim - Hinrich,Kirk - Muscala,Mike - Scott,Mike - Tavares,Walter",6.0,12.0
1046,200794 - 203934 - 203471 - 200757 - 201168,"Millsap,Paul - Patterson,Lamar - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago",7.0,8.0
1047,203200 - 202714 - 200794 - 200757 - 201168,"Holiday,Justin - Mack,Shelvin - Millsap,Paul - Sefolosha,Thabo - Splitter,Tiago",6.0,4.0
1048,203200 - 203471 - 203118 - 200757 - 201168,"Holiday,Justin - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo - Splitter,Tiago",11.0,8.0
1049,2594 - 200794 - 203488 - 203934 - 203471,"Korver,Kyle - Millsap,Paul - Muscala,Mike - Patterson,Lamar - Schroder,Dennis",5.8,7.4
1050,2594 - 200794 - 203488 - 200757 - 201952,"Korver,Kyle - Millsap,Paul - Muscala,Mike - Sefolosha,Thabo - Teague,Jeff",6.1,7.2
1051,203145 - 203501 - 201143 - 203118 - 201952,"Bazemore,Kent - Hardaway Jr.,Tim - Horford,Al - Scott,Mike - Teague,Jeff",5.2,5.8
1052,203501 - 203200 - 202714 - 203488 - 201168,"Hardaway Jr.,Tim - Holiday,Justin - Mack,Shelvin - Muscala,Mike - Splitter,Tiago",11.0,2.0
1053,201143 - 2594 - 203934 - 203471 - 201168,"Horford,Al - Korver,Kyle - Patterson,Lamar - Schroder,Dennis - Splitter,Tiago",6.0,5.0
1054,203145 - 203501 - 201143 - 203471 - 203118,"Bazemore,Kent - Hardaway Jr.,Tim - Horford,Al - Schroder,Dennis - Scott,Mike",5.4,6.8
1055,203145 - 200794 - 203488 - 203471 - 200757,"Bazemore,Kent - Millsap,Paul - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",7.3,6.9
1056,203501 - 201143 - 2594 - 203471 - 203118,"Hardaway Jr.,Tim - Horford,Al - Korver,Kyle - Schroder,Dennis - Scott,Mike",5.4,6.1
1057,203200 - 201143 - 2594 - 200794 - 201952,"Holiday,Justin - Horford,Al - Korver,Kyle - Millsap,Paul - Teague,Jeff",5.0,6.0
1058,203200 - 202714 - 203934 - 203118 - 204002,"Holiday,Justin - Mack,Shelvin - Patterson,Lamar - Scott,Mike - Tavares,Walter",4.0,6.0
1059,203200 - 200794 - 203471 - 200757 - 201168,"Holiday,Justin - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago",6.2,6.5
1060,200794 - 203934 - 203118 - 200757 - 201952,"Millsap,Paul - Patterson,Lamar - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",10.0,6.0
1061,203145 - 203501 - 201143 - 201168 - 201952,"Bazemore,Kent - Hardaway Jr.,Tim - Horford,Al - Splitter,Tiago - Teague,Jeff",7.0,10.0
1062,203145 - 203501 - 203471 - 203118 - 201168,"Bazemore,Kent - Hardaway Jr.,Tim - Schroder,Dennis - Scott,Mike - Splitter,Tiago",4.5,9.5
1063,203145 - 2594 - 200794 - 201168 - 201952,"Bazemore,Kent - Korver,Kyle - Millsap,Paul - Splitter,Tiago - Teague,Jeff",6.1,6.2
1064,203501 - 200794 - 203471 - 200757 - 201168,"Hardaway Jr.,Tim - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago",3.8,9.3
1065,2550 - 2743 - 203471 - 203118 - 200757,"Hinrich,Kirk - Humphries,Kris - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",6.0,2.0
1066,203200 - 201143 - 203488 - 203471 - 200757,"Holiday,Justin - Horford,Al - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",0.0,9.0
1067,2594 - 200794 - 200757 - 201168 - 201952,"Korver,Kyle - Millsap,Paul - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",5.1,4.9
1068,203145 - 203501 - 200794 - 203488 - 201952,"Bazemore,Kent - Hardaway Jr.,Tim - Millsap,Paul - Muscala,Mike - Teague,Jeff",8.5,4.5
1069,203145 - 203501 - 200794 - 203471 - 200757,"Bazemore,Kent - Hardaway Jr.,Tim - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",4.0,5.0
1070,203145 - 2743 - 2594 - 200794 - 201952,"Bazemore,Kent - Humphries,Kris - Korver,Kyle - Millsap,Paul - Teague,Jeff",5.3,6.0
1071,203145 - 200794 - 200757 - 201168 - 201952,"Bazemore,Kent - Millsap,Paul - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",5.1,6.6
1072,203501 - 201143 - 203471 - 203118 - 201952,"Hardaway Jr.,Tim - Horford,Al - Schroder,Dennis - Scott,Mike - Teague,Jeff",5.0,2.0
1073,203200 - 201143 - 200794 - 203471 - 200757,"Holiday,Justin - Horford,Al - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",8.0,7.0
1074,203200 - 201143 - 203471 - 203118 - 200757,"Holiday,Justin - Horford,Al - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",6.9,4.2
1075,201143 - 2594 - 203934 - 203471 - 200757,"Horford,Al - Korver,Kyle - Patterson,Lamar - Schroder,Dennis - Sefolosha,Thabo",7.0,7.0
1076,201143 - 2594 - 200757 - 201168 - 201952,"Horford,Al - Korver,Kyle - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",4.7,7.0
1077,203145 - 203501 - 201143 - 2743 - 201952,"Bazemore,Kent - Hardaway Jr.,Tim - Horford,Al - Humphries,Kris - Teague,Jeff",6.0,9.0
1078,203145 - 201143 - 2594 - 203488 - 203471,"Bazemore,Kent - Horford,Al - Korver,Kyle - Muscala,Mike - Schroder,Dennis",3.6,5.9
1079,203145 - 201143 - 203488 - 203934 - 203471,"Bazemore,Kent - Horford,Al - Muscala,Mike - Patterson,Lamar - Schroder,Dennis",5.7,4.7
1080,203145 - 202714 - 200794 - 200757 - 204002,"Bazemore,Kent - Mack,Shelvin - Millsap,Paul - Sefolosha,Thabo - Tavares,Walter",8.5,6.0
1081,203501 - 202714 - 203488 - 203934 - 203118,"Hardaway Jr.,Tim - Mack,Shelvin - Muscala,Mike - Patterson,Lamar - Scott,Mike",7.0,2.0
1082,203145 - 203501 - 200794 - 203471 - 201168,"Bazemore,Kent - Hardaway Jr.,Tim - Millsap,Paul - Schroder,Dennis - Splitter,Tiago",2.0,4.5
1083,203145 - 2550 - 201143 - 2594 - 200794,"Bazemore,Kent - Hinrich,Kirk - Horford,Al - Korver,Kyle - Millsap,Paul",4.0,9.0
1084,203145 - 201143 - 2594 - 203471 - 203118,"Bazemore,Kent - Horford,Al - Korver,Kyle - Schroder,Dennis - Scott,Mike",5.2,5.7
1085,203145 - 201143 - 200757 - 201168 - 201952,"Bazemore,Kent - Horford,Al - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",5.0,4.0
1086,203145 - 203488 - 203934 - 203471 - 203118,"Bazemore,Kent - Muscala,Mike - Patterson,Lamar - Schroder,Dennis - Scott,Mike",4.0,5.0
1087,203501 - 2550 - 2743 - 203488 - 203118,"Hardaway Jr.,Tim - Hinrich,Kirk - Humphries,Kris - Muscala,Mike - Scott,Mike",5.0,6.2
1088,203501 - 201143 - 200757 - 201168 - 201952,"Hardaway Jr.,Tim - Horford,Al - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",3.0,6.0
1089,203501 - 2743 - 200794 - 203471 - 200757,"Hardaway Jr.,Tim - Humphries,Kris - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",4.8,5.0
1090,2550 - 2743 - 200794 - 203471 - 200757,"Hinrich,Kirk - Humphries,Kris - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",6.0,4.0
1091,2594 - 203934 - 203471 - 203118 - 201168,"Korver,Kyle - Patterson,Lamar - Schroder,Dennis - Scott,Mike - Splitter,Tiago",6.0,8.0
1092,203145 - 201143 - 200794 - 200757 - 201952,"Bazemore,Kent - Horford,Al - Millsap,Paul - Sefolosha,Thabo - Teague,Jeff",5.9,4.5
1093,203145 - 2594 - 200794 - 203118 - 201952,"Bazemore,Kent - Korver,Kyle - Millsap,Paul - Scott,Mike - Teague,Jeff",5.2,3.8
1094,203145 - 203471 - 203118 - 200757 - 204002,"Bazemore,Kent - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo - Tavares,Walter",7.5,5.5
1095,203501 - 203200 - 202714 - 203488 - 203934,"Hardaway Jr.,Tim - Holiday,Justin - Mack,Shelvin - Muscala,Mike - Patterson,Lamar",3.0,5.0
1096,203501 - 201143 - 2594 - 200794 - 201952,"Hardaway Jr.,Tim - Horford,Al - Korver,Kyle - Millsap,Paul - Teague,Jeff",4.5,7.5
1097,203501 - 201143 - 203118 - 200757 - 201952,"Hardaway Jr.,Tim - Horford,Al - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",6.8,4.3
1098,201143 - 2594 - 200794 - 203471 - 200757,"Horford,Al - Korver,Kyle - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",4.8,4.6
1099,201143 - 2594 - 203934 - 203118 - 200757,"Horford,Al - Korver,Kyle - Patterson,Lamar - Scott,Mike - Sefolosha,Thabo",6.0,5.0
1100,203145 - 2594 - 200794 - 203488 - 201952,"Bazemore,Kent - Korver,Kyle - Millsap,Paul - Muscala,Mike - Teague,Jeff",4.0,4.6
1101,203145 - 200794 - 203488 - 200757 - 201952,"Bazemore,Kent - Millsap,Paul - Muscala,Mike - Sefolosha,Thabo - Teague,Jeff",5.8,3.8
1102,203145 - 200794 - 203934 - 201168 - 201952,"Bazemore,Kent - Millsap,Paul - Patterson,Lamar - Splitter,Tiago - Teague,Jeff",5.4,5.7
1103,203501 - 2743 - 2594 - 200794 - 201952,"Hardaway Jr.,Tim - Humphries,Kris - Korver,Kyle - Millsap,Paul - Teague,Jeff",5.7,4.7
1104,203501 - 200794 - 203488 - 203471 - 200757,"Hardaway Jr.,Tim - Millsap,Paul - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",4.5,4.0
1105,203501 - 203471 - 203118 - 200757 - 201168,"Hardaway Jr.,Tim - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo - Splitter,Tiago",6.5,3.5
1106,203200 - 201143 - 2594 - 202714 - 203118,"Holiday,Justin - Horford,Al - Korver,Kyle - Mack,Shelvin - Scott,Mike",0.0,5.0
1107,203200 - 201143 - 203488 - 203934 - 201952,"Holiday,Justin - Horford,Al - Muscala,Mike - Patterson,Lamar - Teague,Jeff",7.0,5.0
1108,203200 - 202714 - 203488 - 203934 - 203118,"Holiday,Justin - Mack,Shelvin - Muscala,Mike - Patterson,Lamar - Scott,Mike",4.0,6.0
1109,203200 - 200794 - 203488 - 203934 - 203471,"Holiday,Justin - Millsap,Paul - Muscala,Mike - Patterson,Lamar - Schroder,Dennis",3.0,7.0
1110,201143 - 2594 - 200794 - 203934 - 201952,"Horford,Al - Korver,Kyle - Millsap,Paul - Patterson,Lamar - Teague,Jeff",5.5,7.1
1111,201143 - 2594 - 203118 - 200757 - 201952,"Horford,Al - Korver,Kyle - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",5.3,4.5
1112,200794 - 203471 - 200757 - 201168 - 201952,"Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",4.2,4.2
1113,203145 - 2550 - 2743 - 2594 - 200794,"Bazemore,Kent - Hinrich,Kirk - Humphries,Kris - Korver,Kyle - Millsap,Paul",2.0,9.0
1114,203145 - 2594 - 203488 - 203471 - 201168,"Bazemore,Kent - Korver,Kyle - Muscala,Mike - Schroder,Dennis - Splitter,Tiago",3.0,4.0
1115,203145 - 200794 - 203471 - 203118 - 200757,"Bazemore,Kent - Millsap,Paul - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",2.8,2.8
1116,203501 - 203200 - 201143 - 203471 - 203118,"Hardaway Jr.,Tim - Holiday,Justin - Horford,Al - Schroder,Dennis - Scott,Mike",6.5,4.0
1117,203200 - 201143 - 202714 - 203488 - 200757,"Holiday,Justin - Horford,Al - Mack,Shelvin - Muscala,Mike - Sefolosha,Thabo",6.0,4.0
1118,203200 - 202714 - 203471 - 201168 - 204002,"Holiday,Justin - Mack,Shelvin - Schroder,Dennis - Splitter,Tiago - Tavares,Walter",6.0,4.0
1119,2594 - 200794 - 203934 - 203118 - 201952,"Korver,Kyle - Millsap,Paul - Patterson,Lamar - Scott,Mike - Teague,Jeff",6.0,7.5
1120,200794 - 203934 - 200757 - 201168 - 201952,"Millsap,Paul - Patterson,Lamar - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",3.4,4.7
1121,203145 - 203501 - 201143 - 200794 - 203471,"Bazemore,Kent - Hardaway Jr.,Tim - Horford,Al - Millsap,Paul - Schroder,Dennis",5.0,5.6
1122,203145 - 200794 - 203488 - 203471 - 201952,"Bazemore,Kent - Millsap,Paul - Muscala,Mike - Schroder,Dennis - Teague,Jeff",3.0,6.0
1123,203200 - 2594 - 203118 - 201168 - 201952,"Holiday,Justin - Korver,Kyle - Scott,Mike - Splitter,Tiago - Teague,Jeff",4.0,6.0
1124,201143 - 2594 - 202714 - 203118 - 200757,"Horford,Al - Korver,Kyle - Mack,Shelvin - Scott,Mike - Sefolosha,Thabo",2.0,2.5
1125,201143 - 2594 - 203488 - 203934 - 203471,"Horford,Al - Korver,Kyle - Muscala,Mike - Patterson,Lamar - Schroder,Dennis",4.0,2.0
1126,201143 - 2594 - 203471 - 203118 - 200757,"Horford,Al - Korver,Kyle - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",4.1,4.4
1127,201143 - 2594 - 203471 - 200757 - 201952,"Horford,Al - Korver,Kyle - Schroder,Dennis - Sefolosha,Thabo - Teague,Jeff",4.0,0.0
1128,201143 - 203471 - 203118 - 200757 - 201952,"Horford,Al - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",2.0,2.0
1129,203145 - 201143 - 2594 - 203471 - 201168,"Bazemore,Kent - Horford,Al - Korver,Kyle - Schroder,Dennis - Splitter,Tiago",2.0,5.0
1130,203145 - 201143 - 2594 - 203118 - 201952,"Bazemore,Kent - Horford,Al - Korver,Kyle - Scott,Mike - Teague,Jeff",3.0,4.5
1131,203145 - 2743 - 200794 - 200757 - 201952,"Bazemore,Kent - Humphries,Kris - Millsap,Paul - Sefolosha,Thabo - Teague,Jeff",5.0,3.7
1132,203145 - 2594 - 200794 - 203471 - 201168,"Bazemore,Kent - Korver,Kyle - Millsap,Paul - Schroder,Dennis - Splitter,Tiago",4.0,5.0
1133,203145 - 200794 - 203488 - 203934 - 203471,"Bazemore,Kent - Millsap,Paul - Muscala,Mike - Patterson,Lamar - Schroder,Dennis",4.5,4.5
1134,203501 - 203200 - 202714 - 203488 - 200757,"Hardaway Jr.,Tim - Holiday,Justin - Mack,Shelvin - Muscala,Mike - Sefolosha,Thabo",6.0,4.0
1135,203501 - 201143 - 2743 - 203471 - 200757,"Hardaway Jr.,Tim - Horford,Al - Humphries,Kris - Schroder,Dennis - Sefolosha,Thabo",4.1,3.0
1136,203501 - 201143 - 2594 - 200794 - 203471,"Hardaway Jr.,Tim - Horford,Al - Korver,Kyle - Millsap,Paul - Schroder,Dennis",4.0,5.0
1137,203501 - 201143 - 2594 - 203471 - 200757,"Hardaway Jr.,Tim - Horford,Al - Korver,Kyle - Schroder,Dennis - Sefolosha,Thabo",2.4,5.7
1138,203501 - 201143 - 200794 - 200757 - 201952,"Hardaway Jr.,Tim - Horford,Al - Millsap,Paul - Sefolosha,Thabo - Teague,Jeff",4.4,5.3
1139,2594 - 203488 - 200757 - 201168 - 201952,"Korver,Kyle - Muscala,Mike - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",3.0,6.0
1140,203145 - 203501 - 201143 - 203118 - 200757,"Bazemore,Kent - Hardaway Jr.,Tim - Horford,Al - Scott,Mike - Sefolosha,Thabo",4.0,7.0
1141,203145 - 201143 - 203471 - 203118 - 201952,"Bazemore,Kent - Horford,Al - Schroder,Dennis - Scott,Mike - Teague,Jeff",6.0,5.0
1142,203145 - 200794 - 203471 - 201168 - 201952,"Bazemore,Kent - Millsap,Paul - Schroder,Dennis - Splitter,Tiago - Teague,Jeff",4.7,4.0
1143,203501 - 203200 - 203488 - 203471 - 203118,"Hardaway Jr.,Tim - Holiday,Justin - Muscala,Mike - Schroder,Dennis - Scott,Mike",2.0,2.0
1144,203501 - 201143 - 203488 - 203471 - 200757,"Hardaway Jr.,Tim - Horford,Al - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",4.0,2.9
1145,203501 - 200794 - 203471 - 203118 - 200757,"Hardaway Jr.,Tim - Millsap,Paul - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",3.6,4.6
1146,2550 - 2594 - 200794 - 203118 - 201952,"Hinrich,Kirk - Korver,Kyle - Millsap,Paul - Scott,Mike - Teague,Jeff",2.0,0.0
1147,203200 - 201143 - 203934 - 203471 - 203118,"Holiday,Justin - Horford,Al - Patterson,Lamar - Schroder,Dennis - Scott,Mike",5.0,1.0
1148,203200 - 2594 - 200794 - 201168 - 201952,"Holiday,Justin - Korver,Kyle - Millsap,Paul - Splitter,Tiago - Teague,Jeff",0.0,6.0
1149,203200 - 202714 - 203488 - 203934 - 200757,"Holiday,Justin - Mack,Shelvin - Muscala,Mike - Patterson,Lamar - Sefolosha,Thabo",10.0,0.0
1150,2743 - 2594 - 200794 - 203471 - 200757,"Humphries,Kris - Korver,Kyle - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",3.3,6.8
1151,2743 - 2594 - 200794 - 200757 - 201952,"Humphries,Kris - Korver,Kyle - Millsap,Paul - Sefolosha,Thabo - Teague,Jeff",4.2,4.4
1152,2594 - 200794 - 203471 - 203118 - 200757,"Korver,Kyle - Millsap,Paul - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",2.3,5.0
1153,2594 - 200794 - 203471 - 200757 - 204002,"Korver,Kyle - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo - Tavares,Walter",0.0,6.0
1154,2594 - 203471 - 203118 - 200757 - 201168,"Korver,Kyle - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo - Splitter,Tiago",5.5,6.5
1155,203145 - 203501 - 2743 - 203471 - 203118,"Bazemore,Kent - Hardaway Jr.,Tim - Humphries,Kris - Schroder,Dennis - Scott,Mike",5.0,5.0
1156,203145 - 203501 - 200794 - 203471 - 203118,"Bazemore,Kent - Hardaway Jr.,Tim - Millsap,Paul - Schroder,Dennis - Scott,Mike",3.0,3.7
1157,203145 - 201143 - 203118 - 200757 - 201952,"Bazemore,Kent - Horford,Al - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",3.7,3.4
1158,203145 - 2743 - 2594 - 203471 - 203118,"Bazemore,Kent - Humphries,Kris - Korver,Kyle - Schroder,Dennis - Scott,Mike",6.0,2.0
1159,203145 - 2743 - 200794 - 203471 - 200757,"Bazemore,Kent - Humphries,Kris - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",4.0,2.5
1160,203145 - 200794 - 203471 - 203118 - 201952,"Bazemore,Kent - Millsap,Paul - Schroder,Dennis - Scott,Mike - Teague,Jeff",7.5,2.5
1161,203145 - 203488 - 203934 - 203118 - 201952,"Bazemore,Kent - Muscala,Mike - Patterson,Lamar - Scott,Mike - Teague,Jeff",4.0,3.0
1162,203501 - 2550 - 201143 - 2743 - 200757,"Hardaway Jr.,Tim - Hinrich,Kirk - Horford,Al - Humphries,Kris - Sefolosha,Thabo",6.0,7.0
1163,203501 - 2550 - 2743 - 200794 - 200757,"Hardaway Jr.,Tim - Hinrich,Kirk - Humphries,Kris - Millsap,Paul - Sefolosha,Thabo",2.0,5.0
1164,203501 - 203200 - 202714 - 203118 - 204002,"Hardaway Jr.,Tim - Holiday,Justin - Mack,Shelvin - Scott,Mike - Tavares,Walter",5.0,5.0
1165,203501 - 2743 - 2594 - 203471 - 203118,"Hardaway Jr.,Tim - Humphries,Kris - Korver,Kyle - Schroder,Dennis - Scott,Mike",6.0,4.0
1166,203501 - 2743 - 203471 - 203118 - 200757,"Hardaway Jr.,Tim - Humphries,Kris - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",4.5,3.8
1167,203501 - 202714 - 203488 - 203934 - 204002,"Hardaway Jr.,Tim - Mack,Shelvin - Muscala,Mike - Patterson,Lamar - Tavares,Walter",3.0,4.0
1168,203501 - 200794 - 203488 - 200757 - 201952,"Hardaway Jr.,Tim - Millsap,Paul - Muscala,Mike - Sefolosha,Thabo - Teague,Jeff",6.0,5.0
1169,203200 - 200794 - 203488 - 203471 - 200757,"Holiday,Justin - Millsap,Paul - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",4.0,6.5
1170,203200 - 203934 - 203471 - 203118 - 201168,"Holiday,Justin - Patterson,Lamar - Schroder,Dennis - Scott,Mike - Splitter,Tiago",0.0,7.0
1171,2594 - 202714 - 203488 - 203471 - 203118,"Korver,Kyle - Mack,Shelvin - Muscala,Mike - Schroder,Dennis - Scott,Mike",5.0,5.0
1172,2594 - 200794 - 203471 - 200757 - 201168,"Korver,Kyle - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago",4.1,2.9
1173,203145 - 201143 - 2594 - 200757 - 201952,"Bazemore,Kent - Horford,Al - Korver,Kyle - Sefolosha,Thabo - Teague,Jeff",3.1,3.3
1174,203145 - 200794 - 203118 - 200757 - 201952,"Bazemore,Kent - Millsap,Paul - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",3.4,2.7
1175,203501 - 201143 - 2594 - 203471 - 201168,"Hardaway Jr.,Tim - Horford,Al - Korver,Kyle - Schroder,Dennis - Splitter,Tiago",6.0,5.0
1176,203501 - 2743 - 203118 - 200757 - 201952,"Hardaway Jr.,Tim - Humphries,Kris - Scott,Mike - Sefolosha,Thabo - Teague,Jeff",3.0,2.0
1177,201143 - 2594 - 203488 - 203471 - 200757,"Horford,Al - Korver,Kyle - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",3.0,2.0
1178,201143 - 200794 - 203934 - 203471 - 201168,"Horford,Al - Millsap,Paul - Patterson,Lamar - Schroder,Dennis - Splitter,Tiago",2.0,3.5
1179,203145 - 201143 - 203471 - 203118 - 200757,"Bazemore,Kent - Horford,Al - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",2.4,3.2
1180,203145 - 2594 - 200794 - 203488 - 203471,"Bazemore,Kent - Korver,Kyle - Millsap,Paul - Muscala,Mike - Schroder,Dennis",4.2,2.8
1181,203145 - 203471 - 203118 - 200757 - 201168,"Bazemore,Kent - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo - Splitter,Tiago",2.0,2.0
1182,203501 - 201143 - 2594 - 203118 - 201952,"Hardaway Jr.,Tim - Horford,Al - Korver,Kyle - Scott,Mike - Teague,Jeff",4.0,3.4
1183,203501 - 201143 - 203471 - 200757 - 201168,"Hardaway Jr.,Tim - Horford,Al - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago",4.1,2.8
1184,203501 - 203488 - 203471 - 203118 - 200757,"Hardaway Jr.,Tim - Muscala,Mike - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",3.7,2.4
1185,2550 - 2743 - 203488 - 203471 - 203118,"Hinrich,Kirk - Humphries,Kris - Muscala,Mike - Schroder,Dennis - Scott,Mike",3.7,3.7
1186,201143 - 2594 - 203934 - 203118 - 201952,"Horford,Al - Korver,Kyle - Patterson,Lamar - Scott,Mike - Teague,Jeff",4.8,3.3
1187,201143 - 203471 - 200757 - 201168 - 201952,"Horford,Al - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",2.6,1.3
