,lineup_ids,clusters,lineup_names,points_scored,points_allowed,MIN_TOT,net,net_per_min
180,"101107,201584,202391,202689,203469","2,3,3,8,9","Lee,Courtney - Lin,Jeremy - Walker,Kemba - Williams,Marvin - Zeller,Cody",93.8,79.1,35.7,14.7,0.411764705882
183,"101107,201584,202689,203469,1626163","2,3,3,3,8","Kaminsky,Frank - Lee,Courtney - Walker,Kemba - Williams,Marvin - Zeller,Cody",49.0,39.0,19.4,10.0,0.515463917526
190,"101107,201587,202391,202689,203469","2,3,8,8,9","Batum,Nicolas - Lin,Jeremy - Walker,Kemba - Williams,Marvin - Zeller,Cody",294.0,279.0,129.0,15.0,0.116279069767
191,"101107,201587,202391,203077,203469","2,2,3,8,9","Batum,Nicolas - Kidd-Gilchrist,Michael - Lin,Jeremy - Williams,Marvin - Zeller,Cody",49.0,50.0,22.2,-1.0,-0.045045045045
195,"101107,201587,202689,203077,1626163","2,3,3,8,8","Batum,Nicolas - Kaminsky,Frank - Kidd-Gilchrist,Michael - Walker,Kemba - Williams,Marvin",37.2,51.2,18.4,-14.0,-0.760869565217
197,"101107,201587,202689,203077,203469","2,2,3,8,8","Batum,Nicolas - Kidd-Gilchrist,Michael - Walker,Kemba - Williams,Marvin - Zeller,Cody",511.2,434.9,220.6,76.3,0.345874886673
199,"101107,201587,202689,203087,203469","2,3,8,8,9","Batum,Nicolas - Lamb,Jeremy - Walker,Kemba - Williams,Marvin - Zeller,Cody",109.6,93.2,49.8,16.4,0.329317269076
201,"101107,201587,202689,203469,1626163","2,3,3,8,8","Batum,Nicolas - Kaminsky,Frank - Walker,Kemba - Williams,Marvin - Zeller,Cody",23.8,45.5,19.6,-21.7,-1.10714285714
203,"101107,201587,202689,203469,203798","2,3,4,8,8","Batum,Nicolas - Hairston,PJ - Walker,Kemba - Williams,Marvin - Zeller,Cody",556.6,570.4,259.9,-13.8,-0.0530973451327
208,"101107,201945,202390,202687,202689","0,3,7,8,8","Biyombo,Bismack - Henderson,Gerald - Neal,Gary - Walker,Kemba - Williams,Marvin",34.4,42.4,17.6,-8.0,-0.454545454545
211,"101107,201945,202687,202689,203077","0,2,3,8,8","Biyombo,Bismack - Henderson,Gerald - Kidd-Gilchrist,Michael - Walker,Kemba - Williams,Marvin",130.2,93.8,57.4,36.4,0.634146341463
212,"101107,201945,202687,202689,203106","0,3,4,8,8","Biyombo,Bismack - Henderson,Gerald - Taylor,Jeff - Walker,Kemba - Williams,Marvin",183.7,228.8,117.7,-45.1,-0.383177570093
233,"101107,202324,202330,202683,202692","1,2,3,7,9","Burks,Alec - Favors,Derrick - Hayward,Gordon - Kanter,Enes - Williams,Marvin",41.0,37.8,22.7,3.2,0.140969162996
236,"101107,202324,202330,202692,203197","1,3,5,7,9","Burks,Alec - Favors,Derrick - Garrett,Diante - Hayward,Gordon - Williams,Marvin",50.4,56.4,22.8,-6.0,-0.263157894737
237,"101107,202324,202330,202692,203504","1,3,6,7,9","Burke,Trey - Burks,Alec - Favors,Derrick - Hayward,Gordon - Williams,Marvin",319.6,299.2,149.6,20.4,0.136363636364
241,"101107,202330,202379,202683,202692","2,2,3,7,9","Burks,Alec - Evans,Jeremy - Hayward,Gordon - Kanter,Enes - Williams,Marvin",42.0,31.0,19.6,11.0,0.561224489796
245,"101107,202330,202683,202692,203197","2,3,5,7,9","Burks,Alec - Garrett,Diante - Hayward,Gordon - Kanter,Enes - Williams,Marvin",67.6,74.1,36.4,-6.5,-0.178571428571
247,"101107,202330,202683,202692,203504","2,3,6,7,9","Burke,Trey - Burks,Alec - Hayward,Gordon - Kanter,Enes - Williams,Marvin",136.4,173.8,59.4,-37.4,-0.62962962963
250,"101107,202362,202390,202687,203148","0,3,6,6,7","Biyombo,Bismack - Neal,Gary - Roberts,Brian - Stephenson,Lance - Williams,Marvin",51.2,63.2,25.6,-12.0,-0.46875
253,"101107,202362,202687,203077,203148","0,2,3,6,6","Biyombo,Bismack - Kidd-Gilchrist,Michael - Roberts,Brian - Stephenson,Lance - Williams,Marvin",54.0,49.0,33.0,5.0,0.151515151515
261,"101107,202390,202687,202689,203077","0,2,3,7,8","Biyombo,Bismack - Kidd-Gilchrist,Michael - Neal,Gary - Walker,Kemba - Williams,Marvin",36.0,46.8,22.5,-10.8,-0.48
263,"101107,202390,202687,202689,203798","0,3,4,7,8","Biyombo,Bismack - Hairston,PJ - Neal,Gary - Walker,Kemba - Williams,Marvin",69.3,50.4,24.5,18.9,0.771428571429
