,lineup_ids,clusters,lineup_names,points_scored,points_allowed,MIN_TOT,net,net_per_min
6660,"200751,201166,202389,202702,203113","2,2,4,8,9","Brooks,Aaron - Faried,Kenneth - Foye,Randy - Miller,Quincy - Mozgov,Timofey",225.5,243.1,99.0,-17.6,-0.177777777778
6671,"200751,201566,201586,203079,203500","1,2,7,8,9","Adams,Steven - Foye,Randy - Ibaka,Serge - Waiters,Dion - Westbrook,Russell",42.3,53.1,20.7,-10.8,-0.521739130435
6682,"200751,201568,201581,201589,201951","1,2,3,8,9","Arthur,Darrell - Foye,Randy - Gallinari,Danilo - Hickson,JJ - Lawson,Ty",48.0,41.1,16.8,6.9,0.410714285714
6686,"200751,201568,201581,202702,1626144","2,2,3,7,8","Faried,Kenneth - Foye,Randy - Gallinari,Danilo - Hickson,JJ - Mudiay,Emmanuel",50.0,60.0,26.4,-10.0,-0.378787878788
6692,"200751,201568,201589,203115,203994","0,1,3,7,8","Arthur,Darrell - Barton,Will - Foye,Randy - Gallinari,Danilo - Nurkic,Jusuf",36.0,29.1,15.9,6.9,0.433962264151
6693,"200751,201568,201589,203115,203999","1,1,3,7,8","Arthur,Darrell - Barton,Will - Foye,Randy - Gallinari,Danilo - Jokic,Nikola",36.0,31.2,15.0,4.8,0.32
6694,"200751,201568,201589,203530,1626144","1,2,3,7,8","Arthur,Darrell - Foye,Randy - Gallinari,Danilo - Lauvergne,Joffrey - Mudiay,Emmanuel",73.8,57.0,32.4,16.8,0.518518518519
6696,"200751,201568,201589,203999,1626144","1,1,3,7,8","Arthur,Darrell - Foye,Randy - Gallinari,Danilo - Jokic,Nikola - Mudiay,Emmanuel",30.0,34.0,16.8,-4.0,-0.238095238095
6704,"200751,201568,202702,203115,1626144","2,3,7,7,8","Barton,Will - Faried,Kenneth - Foye,Randy - Gallinari,Danilo - Mudiay,Emmanuel",46.0,37.0,18.0,9.0,0.5
6707,"200751,201568,202702,203999,1626144","1,2,3,7,8","Faried,Kenneth - Foye,Randy - Gallinari,Danilo - Jokic,Nikola - Mudiay,Emmanuel",45.9,54.9,23.4,-9.0,-0.384615384615
6710,"200751,201568,203115,203914,203994","0,3,3,7,8","Barton,Will - Foye,Randy - Gallinari,Danilo - Harris,Gary - Nurkic,Jusuf",35.0,37.0,19.0,-2.0,-0.105263157895
6730,"200751,201576,201951,202389,202702","2,2,3,8,9","Faried,Kenneth - Foye,Randy - Lawson,Ty - Mozgov,Timofey - Randolph,Anthony",33.2,47.2,18.0,-14.0,-0.777777777778
6735,"200751,201580,201951,202702,202706","0,2,8,8,9","Faried,Kenneth - Foye,Randy - Hamilton,Jordan - Lawson,Ty - McGee,JaVale",45.9,58.8,21.3,-12.9,-0.605633802817
6744,"200751,201581,201951,202702,202706","2,2,8,8,9","Faried,Kenneth - Foye,Randy - Hamilton,Jordan - Hickson,JJ - Lawson,Ty",107.2,113.6,48.0,-6.4,-0.133333333333
6745,"200751,201581,201951,202702,203095","2,2,8,8,9","Faried,Kenneth - Fournier,Evan - Foye,Randy - Hickson,JJ - Lawson,Ty",40.7,46.2,15.4,-5.5,-0.357142857143
6746,"200751,201581,201951,202702,203113","2,2,4,8,9","Faried,Kenneth - Foye,Randy - Hickson,JJ - Lawson,Ty - Miller,Quincy",148.8,132.0,60.8,16.8,0.276315789474
6750,"200751,201581,202702,203095,203113","2,2,4,8,8","Faried,Kenneth - Fournier,Evan - Foye,Randy - Hickson,JJ - Miller,Quincy",37.2,32.4,19.2,4.8,0.25
6759,"200751,201589,202389,202702,203095","1,2,2,8,8","Arthur,Darrell - Faried,Kenneth - Fournier,Evan - Foye,Randy - Mozgov,Timofey",32.0,22.0,15.0,10.0,0.666666666667
6768,"200751,201589,203115,203123,203994","0,1,5,7,8","Arthur,Darrell - Barton,Will - Foye,Randy - Nurkic,Jusuf - Papanikolaou,Kostas",23.0,21.0,15.0,2.0,0.133333333333
6769,"200751,201589,203115,203123,203999","1,1,5,7,8","Arthur,Darrell - Barton,Will - Foye,Randy - Jokic,Nikola - Papanikolaou,Kostas",111.2,82.4,51.2,28.8,0.5625
6771,"200751,201589,203115,203530,203930","1,2,3,7,8","Arthur,Darrell - Barton,Will - Foye,Randy - Kilpatrick,Sean - Lauvergne,Joffrey",74.0,76.0,31.2,-2.0,-0.0641025641026
6773,"200751,201589,203115,203914,203999","1,1,3,7,8","Arthur,Darrell - Barton,Will - Foye,Randy - Harris,Gary - Jokic,Nikola",88.0,60.0,38.4,28.0,0.729166666667
6774,"200751,201589,203115,203930,203994","0,1,3,7,8","Arthur,Darrell - Barton,Will - Foye,Randy - Kilpatrick,Sean - Nurkic,Jusuf",30.9,30.0,16.5,0.9,0.0545454545455
6784,"200751,201951,202389,202702,203095","2,2,8,8,9","Faried,Kenneth - Fournier,Evan - Foye,Randy - Lawson,Ty - Mozgov,Timofey",57.0,47.0,18.0,10.0,0.555555555556
6785,"200751,201951,202389,202702,203113","2,2,4,8,9","Faried,Kenneth - Foye,Randy - Lawson,Ty - Miller,Quincy - Mozgov,Timofey",158.4,186.4,79.2,-28.0,-0.353535353535
6788,"200751,201960,202324,202683,202692","1,2,7,8,9","Burks,Alec - Carroll,DeMarre - Favors,Derrick - Foye,Randy - Kanter,Enes",6.6,4.1,18.4,2.5,0.135869565217
6791,"200751,202324,202330,202683,202692","1,2,7,8,9","Burks,Alec - Favors,Derrick - Foye,Randy - Hayward,Gordon - Kanter,Enes",5.4,5.8,16.0,-0.4,-0.025
6809,"200751,203115,203530,203914,203994","0,2,3,7,8","Barton,Will - Foye,Randy - Harris,Gary - Lauvergne,Joffrey - Nurkic,Jusuf",61.0,55.0,32.5,6.0,0.184615384615
6814,"200752,200765,201158,201585,201954","1,4,6,7,9","Belinelli,Marco - Collison,Darren - Gay,Rudy - Koufos,Kosta - Rondo,Rajon",132.0,180.4,72.6,-48.4,-0.666666666667
6815,"200752,200765,201158,201585,201956","1,3,4,7,9","Belinelli,Marco - Casspi,Omri - Gay,Rudy - Koufos,Kosta - Rondo,Rajon",97.2,111.6,45.0,-14.4,-0.32
6816,"200752,200765,201158,201585,202326","1,2,4,7,9","Belinelli,Marco - Cousins,DeMarcus - Gay,Rudy - Koufos,Kosta - Rondo,Rajon",74.4,78.0,38.4,-3.6,-0.09375
6817,"200752,200765,201158,201585,202341","1,4,4,7,9","Anderson,James - Belinelli,Marco - Gay,Rudy - Koufos,Kosta - Rondo,Rajon",23.0,43.0,16.6,-20.0,-1.20481927711
6820,"200752,200765,201158,201954,1626161","3,4,6,7,9","Belinelli,Marco - Cauley-Stein,Willie - Collison,Darren - Gay,Rudy - Rondo,Rajon",31.2,33.6,15.2,-2.4,-0.157894736842
6821,"200752,200765,201158,201954,202326","2,4,6,7,9","Belinelli,Marco - Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",267.8,244.4,106.6,23.4,0.219512195122
6823,"200752,200765,201158,201956,1626161","3,3,4,7,9","Belinelli,Marco - Casspi,Omri - Cauley-Stein,Willie - Gay,Rudy - Rondo,Rajon",52.0,44.8,20.8,7.2,0.346153846154
6824,"200752,200765,201158,201956,202326","2,3,4,7,9","Belinelli,Marco - Casspi,Omri - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",121.8,111.3,54.6,10.5,0.192307692308
6825,"200752,200765,201158,202326,1626161","2,3,4,7,9","Belinelli,Marco - Cauley-Stein,Willie - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",79.2,114.4,44.8,-35.2,-0.785714285714
6827,"200752,200765,201158,202326,203463","2,4,4,7,9","Belinelli,Marco - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Rondo,Rajon",42.4,56.8,20.8,-14.4,-0.692307692308
6831,"200752,200765,201585,201954,201956","1,3,6,7,9","Casspi,Omri - Collison,Darren - Gay,Rudy - Koufos,Kosta - Rondo,Rajon",64.8,74.4,30.0,-9.6,-0.32
6832,"200752,200765,201585,201954,202326","1,2,6,7,9","Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Koufos,Kosta - Rondo,Rajon",24.8,39.2,16.0,-14.4,-0.9
6837,"200752,200765,201585,201956,203463","1,3,4,7,9","Casspi,Omri - Gay,Rudy - Koufos,Kosta - McLemore,Ben - Rondo,Rajon",113.1,102.7,50.7,10.4,0.205128205128
6838,"200752,200765,201585,202326,203463","1,2,4,7,9","Cousins,DeMarcus - Gay,Rudy - Koufos,Kosta - McLemore,Ben - Rondo,Rajon",68.0,86.0,33.0,-18.0,-0.545454545455
6839,"200752,200765,201585,202341,203112","1,3,4,7,9","Acy,Quincy - Anderson,James - Gay,Rudy - Koufos,Kosta - Rondo,Rajon",35.0,39.0,19.4,-4.0,-0.20618556701
6842,"200752,200765,201585,203463,1626161","1,3,4,7,9","Cauley-Stein,Willie - Gay,Rudy - Koufos,Kosta - McLemore,Ben - Rondo,Rajon",74.0,89.0,32.5,-15.0,-0.461538461538
6844,"200752,200765,201954,201956,202326","2,3,6,7,9","Casspi,Omri - Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",315.0,279.0,132.0,36.0,0.272727272727
6846,"200752,200765,201954,202326,1626161","2,3,6,7,9","Cauley-Stein,Willie - Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",179.4,145.6,71.5,33.8,0.472727272727
6847,"200752,200765,201954,202326,202341","2,4,6,7,9","Anderson,James - Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",34.0,53.0,18.5,-19.0,-1.02702702703
6848,"200752,200765,201954,202326,203112","2,3,6,7,9","Acy,Quincy - Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",144.0,132.0,68.0,12.0,0.176470588235
6849,"200752,200765,201954,202326,203463","2,4,6,7,9","Collison,Darren - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Rondo,Rajon",62.4,63.6,25.2,-1.2,-0.047619047619
6851,"200752,200765,201954,202341,1626161","3,4,6,7,9","Anderson,James - Cauley-Stein,Willie - Collison,Darren - Gay,Rudy - Rondo,Rajon",35.0,29.0,15.0,6.0,0.4
6857,"200752,200765,201956,202326,203463","2,3,4,7,9","Casspi,Omri - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Rondo,Rajon",407.1,388.7,177.1,18.4,0.103896103896
6859,"200752,200765,202326,202341,1626161","2,3,4,7,9","Anderson,James - Cauley-Stein,Willie - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",53.2,46.0,26.0,7.2,0.276923076923
6860,"200752,200765,202326,202341,203112","2,3,4,7,9","Acy,Quincy - Anderson,James - Cousins,DeMarcus - Gay,Rudy - Rondo,Rajon",39.0,50.1,21.3,-11.1,-0.521126760563
6861,"200752,200765,202326,203112,203463","2,3,4,7,9","Acy,Quincy - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Rondo,Rajon",331.5,319.8,143.0,11.7,0.0818181818182
6862,"200752,200765,202326,203112,203552","2,3,7,8,9","Acy,Quincy - Cousins,DeMarcus - Curry,Seth - Gay,Rudy - Rondo,Rajon",98.1,81.0,40.5,17.1,0.422222222222
6863,"200752,200765,202326,203463,1626161","2,3,4,7,9","Cauley-Stein,Willie - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Rondo,Rajon",266.5,235.3,113.1,31.2,0.275862068966
6865,"200752,200765,202326,203552,1626161","2,3,7,8,9","Cauley-Stein,Willie - Cousins,DeMarcus - Curry,Seth - Gay,Rudy - Rondo,Rajon",31.2,32.4,16.4,-1.2,-0.0731707317073
6876,"200752,200768,201942,201946,202685","1,2,7,7,9","DeRozan,DeMar - Gay,Rudy - Hansbrough,Tyler - Lowry,Kyle - Valanciunas,Jonas",126.5,105.6,58.3,20.9,0.358490566038
6880,"200752,200768,201942,202361,202685","2,5,7,7,9","DeRozan,DeMar - Fields,Landry - Gay,Rudy - Lowry,Kyle - Valanciunas,Jonas",9.5,9.0,65.0,0.5,0.00769230769231
6882,"200752,200768,201942,202685,203082","2,4,7,7,9","DeRozan,DeMar - Gay,Rudy - Lowry,Kyle - Ross,Terrence - Valanciunas,Jonas",52.8,33.5,23.2,19.3,0.831896551724
6899,"200752,200797,201574,201954,203463","1,2,4,6,7","Collison,Darren - Gay,Rudy - Hollins,Ryan - McLemore,Ben - Thompson,Jason",189.0,206.1,94.5,-17.1,-0.180952380952
6906,"200752,201144,201188,201578,201961","1,2,3,7,8","Conley,Mike - Ellington,Wayne - Gasol,Marc - Gay,Rudy - Speights,Marreese",4.8,3.4,18.4,1.4,0.0760869565217
6915,"200752,201158,201585,201954,201956","1,3,4,6,7","Belinelli,Marco - Casspi,Omri - Collison,Darren - Gay,Rudy - Koufos,Kosta",142.5,145.0,70.0,-2.5,-0.0357142857143
6918,"200752,201158,201585,201954,203463","1,4,4,6,7","Belinelli,Marco - Collison,Darren - Gay,Rudy - Koufos,Kosta - McLemore,Ben",50.0,69.0,29.0,-19.0,-0.655172413793
6919,"200752,201158,201585,201954,203552","1,4,6,7,8","Belinelli,Marco - Collison,Darren - Curry,Seth - Gay,Rudy - Koufos,Kosta",49.2,54.0,21.0,-4.8,-0.228571428571
6923,"200752,201158,201954,201956,1626161","3,3,4,6,7","Belinelli,Marco - Casspi,Omri - Cauley-Stein,Willie - Collison,Darren - Gay,Rudy",43.2,38.4,20.8,4.8,0.230769230769
6924,"200752,201158,201954,201956,202326","2,3,4,6,7","Belinelli,Marco - Casspi,Omri - Collison,Darren - Cousins,DeMarcus - Gay,Rudy",142.6,124.2,59.8,18.4,0.307692307692
6929,"200752,201158,201954,202326,203552","2,4,6,7,8","Belinelli,Marco - Collison,Darren - Cousins,DeMarcus - Curry,Seth - Gay,Rudy",57.0,54.0,27.0,3.0,0.111111111111
6937,"200752,201167,201585,201951,202326","1,2,7,8,9","Afflalo,Arron - Cousins,DeMarcus - Gay,Rudy - Koufos,Kosta - Lawson,Ty",301.6,291.2,143.0,10.4,0.0727272727273
6959,"200752,201171,201574,201954,203463","2,2,4,6,7","Collison,Darren - Gay,Rudy - Landry,Carl - McLemore,Ben - Thompson,Jason",118.8,111.6,61.2,7.2,0.117647058824
6960,"200752,201171,201574,201954,203917","2,2,3,6,7","Collison,Darren - Gay,Rudy - Landry,Carl - Stauskas,Nik - Thompson,Jason",38.5,44.0,16.5,-5.5,-0.333333333333
6961,"200752,201171,201574,202738,203463","2,2,4,6,7","Gay,Rudy - Landry,Carl - McLemore,Ben - Thomas,Isaiah - Thompson,Jason",39.0,47.1,22.2,-8.1,-0.364864864865
6962,"200752,201171,201574,203463,203492","2,2,4,7,9","Gay,Rudy - Landry,Carl - McCallum,Ray - McLemore,Ben - Thompson,Jason",68.0,67.0,27.8,1.0,0.0359712230216
6964,"200752,201171,201954,202326,203463","2,2,4,6,7","Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Landry,Carl - McLemore,Ben",117.6,93.8,50.4,23.8,0.472222222222
6965,"200752,201171,201954,202326,203917","2,2,3,6,7","Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Landry,Carl - Stauskas,Nik",42.7,28.0,19.6,14.7,0.75
6966,"200752,201171,201954,202682,203463","2,4,6,7,8","Collison,Darren - Gay,Rudy - Landry,Carl - McLemore,Ben - Williams,Derrick",42.7,28.7,16.1,14.0,0.869565217391
6969,"200752,201171,202326,203463,203492","2,2,4,7,9","Cousins,DeMarcus - Gay,Rudy - Landry,Carl - McCallum,Ray - McLemore,Ben",124.0,147.2,64.8,-23.2,-0.358024691358
6980,"200752,201188,201573,201589,201961","1,1,3,7,8","Arthur,Darrell - Bayless,Jerryd - Ellington,Wayne - Gasol,Marc - Gay,Rudy",3.6,3.5,18.2,0.1,0.00549450549451
6987,"200752,201189,201574,201977,202738","0,2,3,6,7","Gay,Rudy - Gray,Aaron - Thomas,Isaiah - Thompson,Jason - Thornton,Marcus",108.0,84.0,48.6,24.0,0.493827160494
6997,"200752,201196,201574,202326,203463","2,2,4,6,7","Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Sessions,Ramon - Thompson,Jason",90.0,140.0,62.0,-50.0,-0.806451612903
7002,"200752,201196,201956,202326,203463","2,3,4,6,7","Casspi,Omri - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Sessions,Ramon",40.0,42.0,20.0,-2.0,-0.1
7008,"200752,201573,201578,201589,201961","1,2,3,7,8","Arthur,Darrell - Bayless,Jerryd - Ellington,Wayne - Gay,Rudy - Speights,Marreese",3.9,4.6,26.1,-0.7,-0.0268199233716
7015,"200752,201574,201954,202326,203463","2,2,4,6,7","Collison,Darren - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Thompson,Jason",942.0,798.0,426.0,144.0,0.338028169014
7017,"200752,201574,201954,202326,203917","2,2,3,6,7","Collison,Darren - Cousins,DeMarcus - Gay,Rudy - Stauskas,Nik - Thompson,Jason",53.2,50.4,21.7,2.8,0.129032258065
7018,"200752,201574,201954,202682,203463","2,4,6,7,8","Collison,Darren - Gay,Rudy - McLemore,Ben - Thompson,Jason - Williams,Derrick",83.3,86.1,31.5,-2.8,-0.0888888888889
7021,"200752,201574,201956,203463,203492","2,3,4,7,9","Casspi,Omri - Gay,Rudy - McCallum,Ray - McLemore,Ben - Thompson,Jason",62.0,66.0,30.5,-4.0,-0.131147540984
7024,"200752,201574,201977,202326,202738","2,2,3,6,7","Cousins,DeMarcus - Gay,Rudy - Thomas,Isaiah - Thompson,Jason - Thornton,Marcus",495.9,437.0,228.0,58.9,0.258333333333
7028,"200752,201574,201977,202738,203112","2,3,3,6,7","Acy,Quincy - Gay,Rudy - Thomas,Isaiah - Thompson,Jason - Thornton,Marcus",56.7,42.0,21.7,14.7,0.677419354839
7031,"200752,201574,202326,202682,202738","2,2,6,7,8","Cousins,DeMarcus - Gay,Rudy - Thomas,Isaiah - Thompson,Jason - Williams,Derrick",91.0,92.0,40.0,-1.0,-0.025
7033,"200752,201574,202326,202738,203463","2,2,4,6,7","Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Thomas,Isaiah - Thompson,Jason",666.9,702.0,315.9,-35.1,-0.111111111111
7035,"200752,201574,202326,203463,203492","2,2,4,7,9","Cousins,DeMarcus - Gay,Rudy - McCallum,Ray - McLemore,Ben - Thompson,Jason",226.6,228.1,108.8,-1.5,-0.0137867647059
7040,"200752,201574,202682,202738,203463","2,4,6,7,8","Gay,Rudy - McLemore,Ben - Thomas,Isaiah - Thompson,Jason - Williams,Derrick",100.1,113.4,46.2,-13.3,-0.287878787879
7042,"200752,201574,202682,203463,203492","2,4,7,8,9","Gay,Rudy - McCallum,Ray - McLemore,Ben - Thompson,Jason - Williams,Derrick",33.0,54.3,22.1,-21.3,-0.963800904977
7054,"200752,201585,201954,201956,203463","1,3,4,6,7","Casspi,Omri - Collison,Darren - Gay,Rudy - Koufos,Kosta - McLemore,Ben",42.7,49.7,18.2,-7.0,-0.384615384615
7068,"200752,201585,203463,203552,1626161","1,3,4,7,8","Cauley-Stein,Willie - Curry,Seth - Gay,Rudy - Koufos,Kosta - McLemore,Ben",39.0,52.0,23.0,-13.0,-0.565217391304
7076,"200752,201954,201956,202326,203463","2,3,4,6,7","Casspi,Omri - Collison,Darren - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben",240.4,189.3,93.0,51.1,0.549462365591
7078,"200752,201954,201956,202326,203552","2,3,6,7,8","Casspi,Omri - Collison,Darren - Cousins,DeMarcus - Curry,Seth - Gay,Rudy",34.8,40.8,16.2,-6.0,-0.37037037037
7085,"200752,201954,202326,202341,1626161","2,3,4,6,7","Anderson,James - Cauley-Stein,Willie - Collison,Darren - Cousins,DeMarcus - Gay,Rudy",42.0,66.9,23.7,-24.9,-1.05063291139
7087,"200752,201954,202326,202682,203463","2,4,6,7,8","Collison,Darren - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Williams,Derrick",187.2,185.4,77.4,1.8,0.0232558139535
7090,"200752,201954,202326,203112,203463","2,3,4,6,7","Acy,Quincy - Collison,Darren - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben",63.9,73.8,30.0,-9.9,-0.33
7092,"200752,201954,202326,203463,203492","2,4,6,7,9","Collison,Darren - Cousins,DeMarcus - Gay,Rudy - McCallum,Ray - McLemore,Ben",50.0,48.0,18.0,2.0,0.111111111111
7100,"200752,201956,202326,203463,203492","2,3,4,7,9","Casspi,Omri - Cousins,DeMarcus - Gay,Rudy - McCallum,Ray - McLemore,Ben",184.8,191.4,83.6,-6.6,-0.0789473684211
7103,"200752,201977,202326,202682,202738","2,3,6,7,8","Cousins,DeMarcus - Gay,Rudy - Thomas,Isaiah - Thornton,Marcus - Williams,Derrick",88.0,67.1,38.5,20.9,0.542857142857
7105,"200752,201977,202326,202738,203112","2,3,3,6,7","Acy,Quincy - Cousins,DeMarcus - Gay,Rudy - Thomas,Isaiah - Thornton,Marcus",52.8,38.4,23.2,14.4,0.620689655172
7111,"200752,202326,202682,202690,203463","2,4,6,7,8","Cousins,DeMarcus - Fredette,Jimmer - Gay,Rudy - McLemore,Ben - Williams,Derrick",51.2,32.0,16.0,19.2,1.2
7112,"200752,202326,202682,202738,203463","2,4,6,7,8","Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Thomas,Isaiah - Williams,Derrick",163.2,153.0,68.0,10.2,0.15
7114,"200752,202326,202682,203463,203492","2,4,7,8,9","Cousins,DeMarcus - Gay,Rudy - McCallum,Ray - McLemore,Ben - Williams,Derrick",148.4,133.7,65.1,14.7,0.225806451613
7118,"200752,202326,202738,203112,203463","2,3,4,6,7","Acy,Quincy - Cousins,DeMarcus - Gay,Rudy - McLemore,Ben - Thomas,Isaiah",39.2,37.1,16.8,2.1,0.125
7124,"200752,202682,202690,203112,203463","3,4,6,7,8","Acy,Quincy - Fredette,Jimmer - Gay,Rudy - McLemore,Ben - Williams,Derrick",43.2,52.2,22.8,-9.0,-0.394736842105
7129,"200755,201162,201599,201933,201954","2,2,4,4,6","Collison,Darren - Dudley,Jared - Griffin,Blake - Jordan,DeAndre - Redick,JJ",178.2,154.8,72.0,23.4,0.325
7133,"200755,201167,201175,202696,202734","0,2,4,8,8","Afflalo,Arron - Davis,Glen - Moore,E'Twaun - Redick,JJ - Vucevic,Nikola",13.6,14.4,117.3,-0.8,-0.00682011935209
7134,"200755,201167,201175,202734,202970","0,0,4,8,8","Afflalo,Arron - Ayon,Gustavo - Davis,Glen - Moore,E'Twaun - Redick,JJ",7.3,8.5,22.2,-1.2,-0.0540540540541
7137,"200755,201167,201177,202696,202734","2,3,4,8,8","Afflalo,Arron - McRoberts,Josh - Moore,E'Twaun - Redick,JJ - Vucevic,Nikola",4.7,6.0,22.0,-1.3,-0.0590909090909
7140,"200755,201167,202696,202734,202970","0,2,4,8,8","Afflalo,Arron - Ayon,Gustavo - Moore,E'Twaun - Redick,JJ - Vucevic,Nikola",4.2,4.1,20.0,0.1,0.005
7142,"200755,201167,202696,202734,203094","2,2,4,8,8","Afflalo,Arron - Moore,E'Twaun - Nicholson,Andrew - Redick,JJ - Vucevic,Nikola",2.4,3.1,18.7,-0.7,-0.0374331550802
7143,"200755,201167,202734,202970,203094","0,2,4,8,8","Afflalo,Arron - Ayon,Gustavo - Moore,E'Twaun - Nicholson,Andrew - Redick,JJ",7.3,9.2,35.0,-1.9,-0.0542857142857
7160,"200755,201177,202734,202970,203094","0,2,3,4,8","Ayon,Gustavo - McRoberts,Josh - Moore,E'Twaun - Nicholson,Andrew - Redick,JJ",10.1,10.1,35.7,0.0,0.0
7164,"200755,201599,201933,202362,203085","2,2,4,6,6","Griffin,Blake - Jordan,DeAndre - Redick,JJ - Rivers,Austin - Stephenson,Lance",59.1,70.2,29.4,-11.1,-0.377551020408
7171,"200755,202696,202734,203090,203094","2,2,4,8,8","Harkless,Maurice - Moore,E'Twaun - Nicholson,Andrew - Redick,JJ - Vucevic,Nikola",4.5,5.3,16.2,-0.8,-0.0493827160494
7173,"200755,202734,202970,203090,203094","0,2,4,8,8","Ayon,Gustavo - Harkless,Maurice - Moore,E'Twaun - Nicholson,Andrew - Redick,JJ",5.0,5.8,16.8,-0.8,-0.047619047619
7176,"200757,200794,201143,201952,203145","0,1,7,8,8","Bazemore,Kent - Horford,Al - Millsap,Paul - Sefolosha,Thabo - Teague,Jeff",198.0,259.6,105.6,-61.6,-0.583333333333
7179,"200757,200794,201143,201952,203501","0,1,3,7,8","Hardaway Jr.,Tim - Horford,Al - Millsap,Paul - Sefolosha,Thabo - Teague,Jeff",42.4,35.2,16.0,7.2,0.45
7182,"200757,200794,201143,203145,203471","0,1,7,8,8","Bazemore,Kent - Horford,Al - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",46.8,70.2,25.2,-23.4,-0.928571428571
7184,"200757,200794,201143,203471,203501","0,1,3,7,8","Hardaway Jr.,Tim - Horford,Al - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",44.2,39.0,18.2,5.2,0.285714285714
7186,"200757,200794,201168,201952,203145","0,1,7,8,8","Bazemore,Kent - Millsap,Paul - Sefolosha,Thabo - Splitter,Tiago - Teague,Jeff",79.2,61.2,32.4,18.0,0.555555555556
7191,"200757,200794,201168,203145,203471","0,1,7,8,8","Bazemore,Kent - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago",137.7,95.2,56.1,42.5,0.757575757576
7194,"200757,200794,201168,203471,203934","0,1,4,7,8","Millsap,Paul - Patterson,Lamar - Schroder,Dennis - Sefolosha,Thabo - Splitter,Tiago",40.0,35.0,16.0,5.0,0.3125
7197,"200757,200794,201952,201960,203544","0,5,7,7,8","Antic,Pero - Carroll,DeMarre - Millsap,Paul - Sefolosha,Thabo - Teague,Jeff",91.0,93.6,50.7,-2.6,-0.0512820512821
7204,"200757,200794,201952,203145,203488","0,0,7,8,8","Bazemore,Kent - Millsap,Paul - Muscala,Mike - Sefolosha,Thabo - Teague,Jeff",53.6,76.6,32.6,-23.0,-0.705521472393
7210,"200757,200794,201960,203471,203544","0,5,7,7,8","Antic,Pero - Carroll,DeMarre - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",92.4,70.0,37.8,22.4,0.592592592593
7215,"200757,200794,202714,203471,203544","0,5,6,7,8","Antic,Pero - Mack,Shelvin - Millsap,Paul - Schroder,Dennis - Sefolosha,Thabo",33.3,18.9,15.3,14.4,0.941176470588
7217,"200757,200794,203118,203471,203501","0,3,4,7,8","Hardaway Jr.,Tim - Millsap,Paul - Schroder,Dennis - Scott,Mike - Sefolosha,Thabo",46.0,36.0,19.0,10.0,0.526315789474
7218,"200757,200794,203145,203471,203488","0,0,7,8,8","Bazemore,Kent - Millsap,Paul - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",74.1,73.7,28.5,0.4,0.0140350877193
7225,"200757,200794,203471,203488,203501","0,0,3,7,8","Hardaway Jr.,Tim - Millsap,Paul - Muscala,Mike - Schroder,Dennis - Sefolosha,Thabo",80.0,102.5,45.9,-22.5,-0.490196078431
7226,"200757,200794,203488,203501,1627098","0,0,3,6,7","Delaney,Malcolm - Hardaway Jr.,Tim - Millsap,Paul - Muscala,Mike - Sefolosha,Thabo",90.0,64.0,35.0,26.0,0.742857142857
7228,"200757,201142,201566,201586,202704","1,7,7,9,9","Durant,Kevin - Ibaka,Serge - Jackson,Reggie - Sefolosha,Thabo - Westbrook,Russell",149.6,101.9,75.8,47.7,0.629287598945
7229,"200757,201142,201566,201586,203087","1,7,7,9,9","Durant,Kevin - Ibaka,Serge - Lamb,Jeremy - Sefolosha,Thabo - Westbrook,Russell",33.0,29.0,16.5,4.0,0.242424242424
