player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_RA,attempt_corner_3,attempt_mid,attempt_non_corner_3,attempt_paint,made_RA,made_corner_3,made_mid,made_non_corner_3,made_paint,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,d_freq_mid,d_freq_paint,d_freq_perim,d_freq_threes,dreb_pos,oreb_pos,pos
2030,14207,Kenyon Martin,N,Kenyon,0,Martin,,Inactive,14,0,,0,12,0,5,0,5,5,0,2,0,2,0.5,0.5,0.3,1.2,0.2,0.2,11.0,9.5,0.5,1.2,0.1,1.7,0.5,0.3,1.0,4.71,1.71,2.0,0.71,0.15,1.57,0.71,0.71,0.14,0.212,0.364,0.424,0.152,0.062,0.029,141.96
2034,13426,Mike Miller,N,Mike,80,Miller,Guard-Forward,Active,16,1610612743,Nuggets,218,2,34,11,64,3,2,12,2,20,1,0.9,0.1,0.1,1.7,0.1,0.1,52.0,13.5,0.1,1.4,0.1,1.8,0.3,0.4,0.67,5.36,1.0,3.69,2.31,0.28,2.33,0.67,1.38,0.83,0.124,0.187,0.689,0.431,0.063,0.003,1223.456
2037,13396,Jamal Crawford,N,Jamal,77,Crawford,Guard,Active,16,1610612746,Clippers,195,82,72,279,292,114,46,26,119,93,48,2.5,0.2,0.3,1.7,3.9,3.5,64.0,26.6,0.3,1.7,2.6,1.9,0.9,1.4,0.92,5.83,0.97,3.94,2.8,0.36,2.48,0.67,1.45,0.92,0.158,0.166,0.676,0.48,0.031,0.005,3381.52
2045,13763,Hedo Turkoglu,N,Hedo,82,Turkoglu,Forward,Active,14,1610612746,Clippers,220,15,33,29,106,5,11,18,11,42,1,0.6,0.1,0.0,1.5,0.2,0.1,62.0,11.4,0.1,1.1,0.3,1.6,0.3,0.5,0.79,4.4,1.19,2.42,1.69,0.3,1.88,0.62,0.96,0.63,0.179,0.271,0.55,0.384,0.067,0.004,1371.92
2199,12470,Tyson Chandler,N,Tyson,85,Chandler,Center,Active,15,1610612756,Suns,240,371,0,45,0,24,268,0,18,0,7,1.1,1.2,0.4,7.6,3.4,2.5,75.0,30.5,3.9,2.3,3.3,11.5,0.6,1.4,3.32,14.59,7.36,3.91,1.47,1.09,6.82,4.04,1.69,0.54,0.227,0.505,0.268,0.101,0.123,0.064,4454.596
2200,13288,Pau Gasol,N,Pau,84,Gasol,Center-Forward,Active,15,1610612759,Spurs,250,415,21,440,5,272,244,11,198,1,116,2.7,1.9,0.8,9.0,4.7,3.8,78.0,34.4,2.8,1.9,4.2,11.8,0.3,2.0,3.93,14.51,7.27,3.31,0.85,1.53,6.72,3.87,1.32,0.24,0.271,0.501,0.228,0.058,0.13,0.041,5378.96
2202,13090,Jason Richardson,N,Jason,78,Richardson,Guard,Active,13,1610612755,76ers,225,31,20,42,76,9,16,7,12,24,3,2.0,0.2,0.1,2.8,1.2,0.9,19.0,21.9,0.7,1.5,1.2,3.5,0.7,0.8,0.9,6.79,2.05,3.84,2.42,0.32,3.37,1.58,1.47,0.79,0.132,0.302,0.566,0.357,0.063,0.015,638.956
2207,12930,Joe Johnson,N,Joe,79,Johnson,Forward-Guard,Active,15,1610612762,Jazz,240,130,97,264,240,294,71,32,103,89,151,3.7,0.2,0.3,4.1,2.2,1.8,80.0,34.9,0.7,1.5,2.2,4.8,0.7,1.7,1.51,9.51,2.2,5.8,3.78,0.64,4.35,1.7,2.01,1.21,0.159,0.231,0.61,0.397,0.06,0.01,5311.84
2210,13303,Richard Jefferson,N,Richard,79,Jefferson,Forward,Active,15,1610612739,Cavaliers,233,89,65,38,91,41,55,28,13,38,10,0.8,0.1,0.3,2.1,1.5,1.1,74.0,16.8,0.3,1.6,1.3,2.5,0.4,0.7,1.32,6.33,1.75,3.26,2.0,0.6,2.86,1.13,1.13,0.74,0.208,0.277,0.515,0.316,0.063,0.01,2265.104
2216,12913,Zach Randolph,N,Zach,81,Randolph,Forward,Active,15,1610612763,Grizzlies,260,431,2,273,18,208,273,0,100,7,74,2.2,0.2,1.2,7.4,4.2,3.2,71.0,32.4,3.2,2.5,4.1,10.5,1.0,2.2,2.05,11.51,4.57,4.89,2.21,0.88,5.57,2.9,1.79,0.74,0.179,0.397,0.424,0.192,0.115,0.05,4392.804
2217,13510,Brendan Haywood,N,Brendan,84,Haywood,Center,Active,12,1610612739,Cavaliers,263,5,0,10,0,15,4,0,4,0,6,0.1,0.5,0.1,1.0,0.6,0.3,22.0,5.4,0.3,0.8,0.5,1.3,0.1,0.5,0.94,3.47,1.29,1.24,0.29,0.3,1.24,0.65,0.29,0.06,0.271,0.373,0.356,0.085,0.097,0.025,188.84
2222,12541,Gerald Wallace,N,Gerald,79,Wallace,Forward,Active,14,1610612738,Celtics,220,27,1,2,2,2,12,1,0,0,1,0.3,0.1,0.2,1.3,0.5,0.2,32.0,8.9,0.5,0.6,0.7,1.8,0.5,0.6,0.52,3.8,1.24,2.04,1.36,0.24,1.96,0.84,0.88,0.52,0.137,0.326,0.537,0.358,0.069,0.029,307.632
2223,13345,Samuel Dalembert,N,Samuel,0,Dalembert,,Inactive,13,0,,0,53,0,36,0,41,31,0,14,0,12,0.9,1.3,0.2,3.6,0.6,0.4,32.0,17.0,1.7,2.2,0.9,5.3,0.4,1.2,1.74,8.1,4.52,1.84,0.48,0.64,3.45,2.1,0.71,0.26,0.215,0.558,0.227,0.06,0.111,0.051,862.164
2225,12608,Tony Parker,N,Tony,74,Parker,Guard,Active,15,1610612759,Spurs,185,248,68,334,21,161,145,27,138,11,83,4.9,0.0,0.7,1.7,2.4,1.9,68.0,28.7,0.2,1.6,2.2,1.9,0.6,2.1,1.65,7.46,1.41,4.4,2.38,0.66,3.35,1.0,1.69,0.9,0.221,0.189,0.59,0.32,0.029,0.004,3625.408
2365,14018,Chris Andersen,N,Chris,82,Andersen,Forward-Center,Active,14,1610612739,Cavaliers,245,152,7,29,6,13,103,4,10,0,3,0.7,1.0,0.4,3.7,1.9,1.3,60.0,18.9,1.3,1.5,1.8,5.0,0.4,0.7,1.68,7.56,4.3,1.58,0.75,0.79,3.93,2.56,0.58,0.25,0.223,0.568,0.209,0.1,0.102,0.035,1890.7
2399,13217,Mike Dunleavy,N,Mike,81,Dunleavy,Guard-Forward,Active,14,1610612739,Cavaliers,230,94,49,103,214,21,51,22,46,85,5,1.8,0.3,0.2,3.5,1.4,1.1,63.0,29.2,0.4,2.0,1.2,3.9,0.6,1.0,1.8,8.27,1.68,4.79,2.57,0.74,3.41,1.0,1.67,0.89,0.217,0.203,0.58,0.311,0.061,0.008,3618.856
2400,12843,Drew Gooden,N,Drew,82,Gooden,Forward,Active,14,1610612764,Wizards,250,64,12,130,47,23,29,6,53,17,5,1.0,0.2,0.3,3.0,0.9,0.7,51.0,16.9,1.4,1.8,1.1,4.4,0.4,0.5,1.17,6.7,1.85,3.68,1.89,0.45,2.79,1.17,1.17,0.57,0.175,0.276,0.549,0.283,0.089,0.042,1637.152
2403,12489,Nene,N,Nene,83,Hilario,Center-Forward,Active,14,1610612745,Rockets,250,280,3,238,2,78,185,0,95,1,26,1.8,0.3,0.6,3.9,3.0,1.8,67.0,25.3,1.3,2.7,3.3,5.1,1.0,1.9,1.86,8.75,2.96,3.93,1.7,0.94,4.04,1.58,1.52,0.57,0.213,0.338,0.449,0.195,0.077,0.025,3292.464
2405,12425,Amar'e Stoudemire,N,Amar'e,82,Stoudemire,Forward-Center,Active,14,1610612748,Heat,245,287,0,106,4,93,190,0,37,0,46,0.8,0.6,0.7,3.7,3.2,2.3,59.0,21.1,1.9,2.7,3.2,5.6,0.5,1.3,1.81,8.29,4.17,2.31,0.84,0.71,3.88,2.22,0.95,0.31,0.218,0.503,0.279,0.102,0.089,0.045,1904.108
2406,13403,Caron Butler,N,Caron,79,Butler,Forward,Active,14,1610612758,Kings,228,25,52,137,167,15,13,25,59,58,6,1.0,0.1,0.1,2.2,0.8,0.7,78.0,20.8,0.3,1.5,0.6,2.5,0.6,0.6,1.14,6.31,1.55,3.62,2.45,0.39,2.91,1.17,1.35,0.95,0.181,0.246,0.573,0.388,0.055,0.007,3130.092
2419,13417,Tayshaun Prince,N,Tayshaun,81,Prince,Forward,Active,14,1610612750,Timberwolves,212,75,47,189,20,71,43,24,76,7,27,1.6,0.3,0.2,2.7,1.1,0.8,58.0,24.1,0.9,0.9,1.0,3.6,0.5,0.6,1.36,7.28,2.26,3.66,1.95,0.59,3.21,1.31,1.31,0.69,0.188,0.31,0.502,0.268,0.058,0.019,2438.808
2422,13495,John Salmons,N,John,0,Salmons,,Inactive,12,0,,0,3,9,17,17,2,1,2,5,6,2,0.6,0.2,0.0,0.8,0.2,0.1,21.0,12.8,0.2,1.2,0.2,1.0,0.4,0.2,0.25,2.9,1.0,1.65,1.15,0.2,1.6,0.75,0.65,0.45,0.086,0.345,0.569,0.397,0.033,0.008,449.128
