,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_RA,attempt_corner_3,attempt_mid,attempt_non_corner_3,attempt_paint,made_RA,made_corner_3,made_mid,made_non_corner_3,made_paint,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,d_freq_mid,d_freq_paint,d_freq_perim,d_freq_threes,blk_pos,dreb_pos,oreb_pos,stl_pos,ast_shot_made,pos,player_id
20,12840,Jose Calderon,N,Jose,75,Calderon,Guard,Active,11,1610612747,Lakers,200,45,28,182,175,25,29,14,86,70,10,4.1,0.1,0.1,2.9,0.7,0.6,72.0,28.1,0.3,1.9,1.1,3.2,0.9,1.2,2.27,9.93,2.49,5.17,2.86,1.0,4.67,1.86,1.81,0.96,0.23,0.25,0.52,0.288,0.002,0.052,0.005,0.016,111,3902.576,101181
21,12457,Alan Anderson,Y,Alan,78,Anderson,Forward-Guard,Active,7,1610612746,Clippers,220,11,9,6,28,5,6,3,3,9,0,1.1,0.1,0.2,2.0,1.2,0.8,13.0,14.8,0.1,1.9,0.8,2.1,0.3,0.2,0.91,5.25,1.17,3.17,2.58,0.59,2.5,0.83,1.08,0.83,0.175,0.222,0.603,0.492,0.002,0.064,0.002,0.01,15,358.344,101187
22,12219,Charles Hayes,Y,Charles,0,Hayes,0,Inactive,10,0,0,0,1,0,0,0,1,1,0,0,0,0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,11.9,0.0,3.0,0.5,4.0,0.0,1.5,2.0,8.5,5.0,1.5,1.0,1.0,3.0,1.5,0.5,0.5,0.236,0.588,0.176,0.118,0.0,0.158,0.0,0.0,1,39.52,101236
23,12421,John Lucas III,Y,John,71,Lucas III,Guard,Active,7,1610612750,Timberwolves,166,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,101249
24,14822,Tim Duncan,N,Tim,83,Duncan,Center-Forward,Active,19,1610612759,Spurs,250,170,0,115,2,154,108,0,35,0,72,2.7,1.3,0.6,5.4,2.1,1.5,61.0,25.2,1.9,2.0,1.8,7.3,0.8,1.5,3.22,11.12,4.92,2.98,0.72,1.17,4.9,2.63,1.1,0.25,0.29,0.442,0.268,0.064,0.026,0.109,0.038,0.015,147,2839.844,1495
25,7649,Jahlil Okafor,N,Jahlil,83,Okafor,Center,Active,1,1610612755,76ers,275,347,1,193,5,235,221,0,65,1,110,1.2,1.2,1.3,4.7,3.7,2.5,53.0,30.0,2.3,2.6,3.1,7.0,0.4,2.3,3.09,13.94,6.45,4.4,1.72,1.38,6.64,3.47,1.79,0.62,0.222,0.463,0.315,0.123,0.019,0.077,0.038,0.007,164,2837.32,1626143
26,7568,Emmanuel Mudiay,N,Emmanuel,77,Mudiay,Guard,Active,1,1610612743,Nuggets,200,286,19,253,213,134,130,6,78,68,47,5.5,0.5,1.2,2.9,3.1,2.1,68.0,30.4,0.5,2.1,2.3,3.4,1.0,3.2,1.56,11.18,2.91,6.71,4.85,0.73,5.01,1.87,2.41,1.87,0.139,0.261,0.6,0.434,0.008,0.047,0.007,0.015,127,4066.244,1626144
27,7502,Tyus Jones,Y,Tyus,74,Jones,Guard,Active,1,1610612750,Timberwolves,195,39,10,27,43,37,20,3,6,13,14,2.9,0.1,0.3,1.1,1.1,0.8,37.0,15.5,0.2,0.9,0.9,1.3,0.8,0.9,1.05,5.27,1.22,3.0,2.19,0.48,2.65,0.95,1.22,0.92,0.2,0.231,0.569,0.415,0.003,0.034,0.006,0.027,21,1124.96,1626145
28,7678,Cliff Alexander,Y,Cliff,80,Alexander,Forward,Active,1,1610612757,Trail Blazers,240,4,0,4,0,2,4,0,1,0,0,0.0,0.3,0.1,0.5,0.0,0.0,8.0,4.5,0.3,0.1,0.0,0.8,0.1,0.1,0.72,2.29,0.43,1.14,1.0,0.28,1.0,0.43,0.29,0.29,0.312,0.188,0.5,0.438,0.028,0.057,0.028,0.014,2,70.72,1626146
29,8405,Justin Anderson,Y,Justin,78,Anderson,Guard-Forward,Active,1,1610612742,Mavericks,228,46,35,30,48,16,35,10,10,12,4,0.5,0.5,0.2,2.1,1.0,0.8,55.0,11.8,0.3,0.8,0.6,2.4,0.3,0.4,0.8,4.32,1.2,2.32,1.8,0.25,1.98,0.64,1.09,0.75,0.184,0.279,0.537,0.416,0.019,0.087,0.014,0.014,42,1045.14,1626147
