,FGA_l,FTA_l,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
30,10.0,2.0,0.0,3.0,201563 - 1627763 - 202328 - 203141 - 1626173,"Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Teletovic,Mirza - Vaughn,Rashad",9.0,4.0
31,3.0,2.0,0.0,1.0,201563 - 1627763 - 203101 - 203503 - 203141,"Beasley,Michael - Brogdon,Malcolm - Plumlee,Miles - Snell,Tony - Teletovic,Mirza",10.0,3.0
32,6.0,0.0,3.0,1.0,203507 - 201563 - 1627763 - 203101 - 203503,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Plumlee,Miles - Snell,Tony",3.0,2.0
33,12.0,2.0,1.0,0.0,203507 - 1627763 - 202328 - 203953 - 1626173,"Antetokounmpo,Giannis - Brogdon,Malcolm - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",7.5,5.0
34,20.0,3.2,5.2,5.2,203507 - 1627763 - 202328 - 203141 - 1891,"Antetokounmpo,Giannis - Brogdon,Malcolm - Monroe,Greg - Teletovic,Mirza - Terry,Jason",6.0,5.5
35,13.0,1.0,1.0,0.0,203507 - 203521 - 203089 - 203503 - 203141,"Antetokounmpo,Giannis - Dellavedova,Matthew - Henson,John - Snell,Tony - Teletovic,Mirza",3.0,8.0
36,12.0,4.0,2.0,2.0,201563 - 1627763 - 203089 - 203141 - 1891,"Beasley,Michael - Brogdon,Malcolm - Henson,John - Teletovic,Mirza - Terry,Jason",6.0,5.5
37,8.0,9.0,0.0,1.0,201563 - 1627763 - 202328 - 203141 - 1891,"Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Teletovic,Mirza - Terry,Jason",8.0,7.0
38,4.0,0.0,0.0,1.0,203507 - 201563 - 203521 - 203089 - 203503,"Antetokounmpo,Giannis - Beasley,Michael - Dellavedova,Matthew - Henson,John - Snell,Tony",9.0,7.0
39,6.0,0.0,1.0,1.0,203521 - 202328 - 203503 - 203141 - 1891,"Dellavedova,Matthew - Monroe,Greg - Snell,Tony - Teletovic,Mirza - Terry,Jason",0.0,2.0
40,19.2,7.2,1.2,1.2,203507 - 203521 - 202328 - 203953 - 203503,"Antetokounmpo,Giannis - Dellavedova,Matthew - Monroe,Greg - Parker,Jabari - Snell,Tony",5.7,7.0
41,5.0,0.0,2.0,2.0,201563 - 203521 - 202328 - 203953 - 1626173,"Beasley,Michael - Dellavedova,Matthew - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",9.0,4.0
42,15.9,2.1,3.0,0.9,1627763 - 202328 - 203953 - 203141 - 1891,"Brogdon,Malcolm - Monroe,Greg - Parker,Jabari - Teletovic,Mirza - Terry,Jason",5.7,3.7
43,5.0,2.0,0.0,2.0,203507 - 201563 - 1627763 - 203101 - 1891,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Plumlee,Miles - Terry,Jason",3.5,4.0
44,8.0,2.0,1.0,1.0,203507 - 203521 - 203953 - 203101 - 1626173,"Antetokounmpo,Giannis - Dellavedova,Matthew - Parker,Jabari - Plumlee,Miles - Vaughn,Rashad",5.0,3.0
45,7.0,3.0,2.0,3.0,201563 - 203521 - 203089 - 203953 - 203503,"Beasley,Michael - Dellavedova,Matthew - Henson,John - Parker,Jabari - Snell,Tony",3.0,6.5
46,3.0,0.0,0.0,1.0,203521 - 203953 - 203101 - 203141 - 1891,"Dellavedova,Matthew - Parker,Jabari - Plumlee,Miles - Teletovic,Mirza - Terry,Jason",9.0,2.0
47,4.0,2.0,2.0,2.0,203507 - 1627763 - 203089 - 203141 - 1626173,"Antetokounmpo,Giannis - Brogdon,Malcolm - Henson,John - Teletovic,Mirza - Vaughn,Rashad",1.0,4.0
48,8.0,2.0,1.0,1.0,203507 - 203521 - 202328 - 203141 - 1626173,"Antetokounmpo,Giannis - Dellavedova,Matthew - Monroe,Greg - Teletovic,Mirza - Vaughn,Rashad",7.0,3.0
49,4.0,0.0,0.0,1.0,1627763 - 203521 - 203089 - 203953 - 203141,"Brogdon,Malcolm - Dellavedova,Matthew - Henson,John - Parker,Jabari - Teletovic,Mirza",0.0,0.0
50,5.0,2.0,0.0,2.0,203507 - 1627763 - 202328 - 203953 - 1891,"Antetokounmpo,Giannis - Brogdon,Malcolm - Monroe,Greg - Parker,Jabari - Terry,Jason",2.5,4.0
51,11.1,3.9,3.0,0.0,203507 - 203521 - 202328 - 203953 - 1891,"Antetokounmpo,Giannis - Dellavedova,Matthew - Monroe,Greg - Parker,Jabari - Terry,Jason",7.0,2.7
52,4.0,0.0,0.0,0.0,201563 - 1627763 - 203101 - 203141 - 1891,"Beasley,Michael - Brogdon,Malcolm - Plumlee,Miles - Teletovic,Mirza - Terry,Jason",5.0,2.0
53,9.0,4.0,2.0,1.0,203507 - 203521 - 203089 - 203953 - 203141,"Antetokounmpo,Giannis - Dellavedova,Matthew - Henson,John - Parker,Jabari - Teletovic,Mirza",4.5,6.0
54,6.0,1.0,1.0,2.0,203507 - 203521 - 203089 - 203953 - 1891,"Antetokounmpo,Giannis - Dellavedova,Matthew - Henson,John - Parker,Jabari - Terry,Jason",5.0,1.5
55,7.0,0.0,0.0,1.0,201563 - 1627763 - 203089 - 203953 - 203503,"Beasley,Michael - Brogdon,Malcolm - Henson,John - Parker,Jabari - Snell,Tony",4.5,3.0
56,4.0,0.0,1.0,1.0,203507 - 1627763 - 203089 - 203503 - 203141,"Antetokounmpo,Giannis - Brogdon,Malcolm - Henson,John - Snell,Tony - Teletovic,Mirza",3.0,4.0
57,2.0,0.0,0.0,1.0,203507 - 1627763 - 203953 - 203141 - 1891,"Antetokounmpo,Giannis - Brogdon,Malcolm - Parker,Jabari - Teletovic,Mirza - Terry,Jason",2.0,2.0
58,3.0,0.0,0.0,0.0,201563 - 1627763 - 203089 - 203503 - 203141,"Beasley,Michael - Brogdon,Malcolm - Henson,John - Snell,Tony - Teletovic,Mirza",4.0,4.0
59,16.0,4.0,1.0,3.0,203521 - 202328 - 203953 - 203503 - 203141,"Dellavedova,Matthew - Monroe,Greg - Parker,Jabari - Snell,Tony - Teletovic,Mirza",3.8,5.0
60,7.0,3.0,1.0,1.0,203507 - 201563 - 203521 - 203101 - 1626173,"Antetokounmpo,Giannis - Beasley,Michael - Dellavedova,Matthew - Plumlee,Miles - Vaughn,Rashad",4.5,3.5
61,8.0,0.0,1.0,0.0,203507 - 1627763 - 202328 - 203953 - 203503,"Antetokounmpo,Giannis - Brogdon,Malcolm - Monroe,Greg - Parker,Jabari - Snell,Tony",5.5,4.0
62,15.0,6.0,4.0,5.0,203507 - 1627763 - 203089 - 203953 - 203503,"Antetokounmpo,Giannis - Brogdon,Malcolm - Henson,John - Parker,Jabari - Snell,Tony",3.8,2.2
63,3.0,0.0,0.0,0.0,203507 - 1627763 - 1627748 - 203953 - 203503,"Antetokounmpo,Giannis - Brogdon,Malcolm - Maker,Thon - Parker,Jabari - Snell,Tony",2.0,2.0
64,5.0,2.0,0.0,1.0,203507 - 1627763 - 203953 - 203101 - 203503,"Antetokounmpo,Giannis - Brogdon,Malcolm - Parker,Jabari - Plumlee,Miles - Snell,Tony",2.5,6.0
65,3.0,2.0,1.0,1.0,201563 - 1627763 - 202328 - 203503 - 1626173,"Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Snell,Tony - Vaughn,Rashad",4.0,2.0
66,5.1,5.1,0.0,2.1,203507 - 201563 - 1627763 - 202328 - 203503,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Snell,Tony",2.7,2.7
67,1.0,2.0,0.0,1.0,203507 - 201563 - 203521 - 203953 - 1891,"Antetokounmpo,Giannis - Beasley,Michael - Dellavedova,Matthew - Parker,Jabari - Terry,Jason",6.0,2.0
68,3.0,0.0,1.0,0.0,203507 - 1627763 - 203089 - 203141 - 1891,"Antetokounmpo,Giannis - Brogdon,Malcolm - Henson,John - Teletovic,Mirza - Terry,Jason",3.0,2.0
69,2.0,0.0,0.0,1.0,203507 - 1627763 - 1627748 - 203953 - 1626173,"Antetokounmpo,Giannis - Brogdon,Malcolm - Maker,Thon - Parker,Jabari - Vaughn,Rashad",2.0,0.0
70,5.0,2.0,1.0,0.0,201563 - 1627763 - 202328 - 203953 - 203503,"Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Parker,Jabari - Snell,Tony",1.5,6.5
71,8.1,5.1,2.1,0.9,1627763 - 202328 - 203953 - 203141 - 1626173,"Brogdon,Malcolm - Monroe,Greg - Parker,Jabari - Teletovic,Mirza - Vaughn,Rashad",5.0,3.7
72,3.0,0.0,0.0,0.0,203507 - 203521 - 203953 - 203503 - 1891,"Antetokounmpo,Giannis - Dellavedova,Matthew - Parker,Jabari - Snell,Tony - Terry,Jason",6.0,0.0
73,5.0,4.0,0.0,0.0,201563 - 1627763 - 203953 - 203101 - 1891,"Beasley,Michael - Brogdon,Malcolm - Parker,Jabari - Plumlee,Miles - Terry,Jason",2.5,3.0
74,2.0,2.0,1.0,0.0,203521 - 202328 - 203953 - 203141 - 1626173,"Dellavedova,Matthew - Monroe,Greg - Parker,Jabari - Teletovic,Mirza - Vaughn,Rashad",0.0,5.0
75,0.0,2.0,0.0,2.0,203521 - 202328 - 203503 - 203141 - 1626173,"Dellavedova,Matthew - Monroe,Greg - Snell,Tony - Teletovic,Mirza - Vaughn,Rashad",4.0,2.0
76,2.0,0.0,0.0,0.0,201563 - 1627763 - 1627748 - 203101 - 1626173,"Beasley,Michael - Brogdon,Malcolm - Maker,Thon - Plumlee,Miles - Vaughn,Rashad",2.0,6.0
77,2.0,2.0,0.0,2.0,201563 - 203521 - 202328 - 203953 - 203503,"Beasley,Michael - Dellavedova,Matthew - Monroe,Greg - Parker,Jabari - Snell,Tony",1.0,2.5
78,3.0,3.0,0.9,3.0,203521 - 203953 - 203101 - 203503 - 203141,"Dellavedova,Matthew - Parker,Jabari - Plumlee,Miles - Snell,Tony - Teletovic,Mirza",4.0,0.7
79,2.0,0.0,0.0,0.0,203507 - 201563 - 203521 - 202328 - 203953,"Antetokounmpo,Giannis - Beasley,Michael - Dellavedova,Matthew - Monroe,Greg - Parker,Jabari",3.0,2.0
80,2.0,0.0,0.0,0.0,203507 - 201563 - 203521 - 202328 - 1626173,"Antetokounmpo,Giannis - Beasley,Michael - Dellavedova,Matthew - Monroe,Greg - Vaughn,Rashad",6.0,2.0
81,1.0,2.0,0.0,1.0,203507 - 201563 - 203521 - 203101 - 203503,"Antetokounmpo,Giannis - Beasley,Michael - Dellavedova,Matthew - Plumlee,Miles - Snell,Tony",4.0,4.0
82,4.0,0.0,1.0,0.0,203507 - 203521 - 203101 - 203503 - 1626173,"Antetokounmpo,Giannis - Dellavedova,Matthew - Plumlee,Miles - Snell,Tony - Vaughn,Rashad",4.0,0.0
83,3.0,0.0,0.0,0.0,201563 - 203521 - 202328 - 203503 - 1626173,"Beasley,Michael - Dellavedova,Matthew - Monroe,Greg - Snell,Tony - Vaughn,Rashad",1.0,2.0
84,2.0,0.0,0.0,0.0,1627763 - 203089 - 203953 - 203141 - 1891,"Brogdon,Malcolm - Henson,John - Parker,Jabari - Teletovic,Mirza - Terry,Jason",5.0,2.0
