,FGA_l,FTA_l,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
685,9.0,1.0,1.0,2.0,203083 - 1626169 - 202720 - 202694 - 202397,"Drummond,Andre - Johnson,Stanley - Leuer,Jon - Morris,Marcus - Smith,Ish",2.0,10.0
686,94.6,30.8,16.5,16.5,203484 - 203083 - 202699 - 202720 - 202397,"Caldwell-Pope,Kentavious - Drummond,Andre - Harris,Tobias - Leuer,Jon - Smith,Ish",8.0,10.5
687,10.0,0.0,1.0,1.0,203493 - 203083 - 202699 - 202720 - 202397,"Bullock,Reggie - Drummond,Andre - Harris,Tobias - Leuer,Jon - Smith,Ish",9.0,8.0
688,43.2,6.0,4.2,10.2,203382 - 202699 - 1626169 - 202720 - 2757,"Baynes,Aron - Harris,Tobias - Johnson,Stanley - Leuer,Jon - Udrih,Beno",7.7,8.7
689,36.0,3.2,5.2,3.2,203382 - 203484 - 202720 - 202694 - 202397,"Baynes,Aron - Caldwell-Pope,Kentavious - Leuer,Jon - Morris,Marcus - Smith,Ish",9.8,7.8
690,7.0,2.0,0.0,0.0,203382 - 203493 - 202699 - 202694 - 2757,"Baynes,Aron - Bullock,Reggie - Harris,Tobias - Morris,Marcus - Udrih,Beno",4.0,13.0
691,68.4,19.8,3.6,9.0,203382 - 203484 - 202699 - 202694 - 202397,"Baynes,Aron - Caldwell-Pope,Kentavious - Harris,Tobias - Morris,Marcus - Smith,Ish",7.9,8.7
692,7.0,0.0,1.0,0.0,203382 - 202699 - 1626169 - 202694 - 2757,"Baynes,Aron - Harris,Tobias - Johnson,Stanley - Morris,Marcus - Udrih,Beno",6.0,8.0
693,68.4,3.6,8.1,2.7,203484 - 203083 - 202720 - 202694 - 202397,"Caldwell-Pope,Kentavious - Drummond,Andre - Leuer,Jon - Morris,Marcus - Smith,Ish",7.8,6.2
694,15.0,9.0,3.0,0.0,203382 - 1626199 - 1626169 - 202720 - 2757,"Baynes,Aron - Hilliard,Darrun - Johnson,Stanley - Leuer,Jon - Udrih,Beno",9.0,8.5
695,24.0,7.2,4.0,3.2,203484 - 202699 - 202720 - 202694 - 202397,"Caldwell-Pope,Kentavious - Harris,Tobias - Leuer,Jon - Morris,Marcus - Smith,Ish",5.7,8.0
696,25.2,1.2,3.2,5.2,203484 - 203083 - 202699 - 1626169 - 202397,"Caldwell-Pope,Kentavious - Drummond,Andre - Harris,Tobias - Johnson,Stanley - Smith,Ish",7.0,6.5
697,33.0,10.2,4.2,4.2,203083 - 1626169 - 202720 - 202694 - 2757,"Drummond,Andre - Johnson,Stanley - Leuer,Jon - Morris,Marcus - Udrih,Beno",6.5,6.5
698,51.3,6.3,1.8,5.4,203382 - 203484 - 202699 - 202720 - 2757,"Baynes,Aron - Caldwell-Pope,Kentavious - Harris,Tobias - Leuer,Jon - Udrih,Beno",5.4,6.3
699,11.0,2.0,3.0,0.0,203382 - 203484 - 1626169 - 202720 - 2757,"Baynes,Aron - Caldwell-Pope,Kentavious - Johnson,Stanley - Leuer,Jon - Udrih,Beno",2.0,5.5
700,4.0,2.0,0.0,0.0,203382 - 202699 - 1626199 - 1626169 - 2757,"Baynes,Aron - Harris,Tobias - Hilliard,Darrun - Johnson,Stanley - Udrih,Beno",2.0,9.0
701,4.0,2.0,0.0,0.0,203382 - 1626199 - 202720 - 202694 - 2757,"Baynes,Aron - Hilliard,Darrun - Leuer,Jon - Morris,Marcus - Udrih,Beno",3.0,7.0
702,4.0,0.0,0.0,0.0,203382 - 1627771 - 1626169 - 202720 - 2757,"Baynes,Aron - Gbinije,Michael - Johnson,Stanley - Leuer,Jon - Udrih,Beno",5.0,7.0
703,2.0,0.0,0.0,2.0,203484 - 203083 - 202720 - 202694 - 2757,"Caldwell-Pope,Kentavious - Drummond,Andre - Leuer,Jon - Morris,Marcus - Udrih,Beno",5.0,4.0
704,6.0,0.0,1.0,1.0,1627740 - 1627771 - 1626199 - 1626169 - 1626246,"Ellenson,Henry - Gbinije,Michael - Hilliard,Darrun - Johnson,Stanley - Marjanovic,Boban",8.0,4.0
705,5.0,0.0,0.0,0.0,1627740 - 1627771 - 1626199 - 1626246 - 2757,"Ellenson,Henry - Gbinije,Michael - Hilliard,Darrun - Marjanovic,Boban - Udrih,Beno",7.0,5.0
706,52.0,8.0,5.0,5.0,203382 - 203484 - 202720 - 202694 - 2757,"Baynes,Aron - Caldwell-Pope,Kentavious - Leuer,Jon - Morris,Marcus - Udrih,Beno",4.0,5.6
707,25.9,6.3,2.1,4.9,203083 - 202699 - 1626169 - 202720 - 2757,"Drummond,Andre - Harris,Tobias - Johnson,Stanley - Leuer,Jon - Udrih,Beno",5.8,3.9
708,14.0,4.0,2.0,5.2,203083 - 202699 - 1626169 - 202694 - 202397,"Drummond,Andre - Harris,Tobias - Johnson,Stanley - Morris,Marcus - Smith,Ish",3.0,5.3
709,4.0,4.0,1.0,0.0,203493 - 203083 - 202720 - 202694 - 202397,"Bullock,Reggie - Drummond,Andre - Leuer,Jon - Morris,Marcus - Smith,Ish",0.0,7.0
710,4.0,2.0,1.0,0.0,203382 - 203493 - 1626199 - 1626169 - 202720,"Baynes,Aron - Bullock,Reggie - Hilliard,Darrun - Johnson,Stanley - Leuer,Jon",2.0,4.0
711,4.0,1.0,0.0,0.0,203083 - 202699 - 1626199 - 1626169 - 2757,"Drummond,Andre - Harris,Tobias - Hilliard,Darrun - Johnson,Stanley - Udrih,Beno",6.0,3.0
712,5.0,2.0,2.0,0.0,1627740 - 1627771 - 1626169 - 202720 - 2757,"Ellenson,Henry - Gbinije,Michael - Johnson,Stanley - Leuer,Jon - Udrih,Beno",0.0,2.0
713,3.0,2.0,0.0,0.0,203382 - 203484 - 202699 - 1626169 - 2757,"Baynes,Aron - Caldwell-Pope,Kentavious - Harris,Tobias - Johnson,Stanley - Udrih,Beno",0.0,7.0
714,14.0,2.0,2.0,4.0,203083 - 202699 - 1626169 - 202720 - 202397,"Drummond,Andre - Harris,Tobias - Johnson,Stanley - Leuer,Jon - Smith,Ish",4.8,2.6
715,2.0,2.0,0.0,1.0,203382 - 203484 - 1626169 - 202694 - 202397,"Baynes,Aron - Caldwell-Pope,Kentavious - Johnson,Stanley - Morris,Marcus - Smith,Ish",2.0,2.0
716,2.0,0.0,0.0,0.0,1627740 - 1626199 - 1626169 - 202720 - 202397,"Ellenson,Henry - Hilliard,Darrun - Johnson,Stanley - Leuer,Jon - Smith,Ish",2.0,2.0
717,6.0,0.0,0.0,0.9,203382 - 203484 - 202699 - 202720 - 202397,"Baynes,Aron - Caldwell-Pope,Kentavious - Harris,Tobias - Leuer,Jon - Smith,Ish",3.4,0.7
718,2.0,3.0,0.0,0.0,203484 - 202699 - 202720 - 1626246 - 2757,"Caldwell-Pope,Kentavious - Harris,Tobias - Leuer,Jon - Marjanovic,Boban - Udrih,Beno",4.0,4.0
719,5.0,1.0,0.0,0.0,203382 - 202699 - 1626169 - 202694 - 202397,"Baynes,Aron - Harris,Tobias - Johnson,Stanley - Morris,Marcus - Smith,Ish",4.0,1.5
720,3.0,4.0,2.0,0.0,203484 - 203083 - 1626169 - 202720 - 2757,"Caldwell-Pope,Kentavious - Drummond,Andre - Johnson,Stanley - Leuer,Jon - Udrih,Beno",3.5,0.5
721,1.0,2.0,0.0,0.0,203484 - 202699 - 1626169 - 202720 - 202694,"Caldwell-Pope,Kentavious - Harris,Tobias - Johnson,Stanley - Leuer,Jon - Morris,Marcus",0.0,1.0
722,10.2,3.0,0.0,1.2,203484 - 203083 - 202699 - 202694 - 2757,"Caldwell-Pope,Kentavious - Drummond,Andre - Harris,Tobias - Morris,Marcus - Udrih,Beno",1.3,1.8
723,2.1,0.0,0.0,0.9,203484 - 203083 - 1626169 - 202720 - 202397,"Caldwell-Pope,Kentavious - Drummond,Andre - Johnson,Stanley - Leuer,Jon - Smith,Ish",1.3,1.0
724,1.0,0.0,0.0,0.0,203382 - 202699 - 1626199 - 202720 - 2757,"Baynes,Aron - Harris,Tobias - Hilliard,Darrun - Leuer,Jon - Udrih,Beno",3.0,0.0
725,1.0,0.0,0.0,0.0,203083 - 202699 - 1626169 - 202694 - 2757,"Drummond,Andre - Harris,Tobias - Johnson,Stanley - Morris,Marcus - Udrih,Beno",2.0,0.0
726,5.1,0.0,0.0,0.0,203382 - 203484 - 202699 - 202694 - 2757,"Baynes,Aron - Caldwell-Pope,Kentavious - Harris,Tobias - Morris,Marcus - Udrih,Beno",1.7,0.0
727,0.0,2.0,0.0,0.0,203493 - 1626199 - 1626169 - 202720 - 1626246,"Bullock,Reggie - Hilliard,Darrun - Johnson,Stanley - Leuer,Jon - Marjanovic,Boban",0.0,2.0
728,0.0,2.0,0.0,0.0,1626169 - 202720 - 1626246 - 202694 - 2757,"Johnson,Stanley - Leuer,Jon - Marjanovic,Boban - Morris,Marcus - Udrih,Beno",0.0,2.0
729,0.0,0.0,0.0,0.0,203382 - 203493 - 202699 - 202720 - 202397,"Baynes,Aron - Bullock,Reggie - Harris,Tobias - Leuer,Jon - Smith,Ish",3.0,0.0
730,1.0,0.0,0.0,0.0,203083 - 202699 - 1626199 - 202694 - 2757,"Drummond,Andre - Harris,Tobias - Hilliard,Darrun - Morris,Marcus - Udrih,Beno",2.0,0.0
731,0.0,0.0,0.0,0.0,1627740 - 1627771 - 1626169 - 202720 - 202397,"Ellenson,Henry - Gbinije,Michael - Johnson,Stanley - Leuer,Jon - Smith,Ish",3.0,0.0
732,0.0,0.0,0.0,0.0,203382 - 202699 - 1626169 - 1626246 - 2757,"Baynes,Aron - Harris,Tobias - Johnson,Stanley - Marjanovic,Boban - Udrih,Beno",0.0,0.0
733,0.0,0.0,0.0,0.0,203484 - 203083 - 202699 - 1626169 - 202694,"Caldwell-Pope,Kentavious - Drummond,Andre - Harris,Tobias - Johnson,Stanley - Morris,Marcus",1.0,0.0
734,1.0,2.0,0.0,0.0,203484 - 202699 - 202720 - 202694 - 2757,"Caldwell-Pope,Kentavious - Harris,Tobias - Leuer,Jon - Morris,Marcus - Udrih,Beno",0.0,1.0
735,304.8,51.6,45.6,50.4,2546 - 201584 - 201149 - 204001 - 201565,"Anthony,Carmelo - Lee,Courtney - Noah,Joakim - Porzingis,Kristaps - Rose,Derrick",30.0,28.7
736,13.0,2.0,2.0,1.0,203200 - 201943 - 1627851 - 203124 - 202498,"Holiday,Justin - Jennings,Brandon - Kuzminskas,Mindaugas - O'Quinn,Kyle - Thomas,Lance",20.0,14.0
737,11.0,4.0,1.0,1.0,1627758 - 201943 - 1627851 - 1626254 - 2756,"Baker,Ron - Jennings,Brandon - Kuzminskas,Mindaugas - Ndour,Maurice - Vujacic,Sasha",9.0,13.0
738,16.0,2.0,10.0,2.0,1626195 - 203200 - 201943 - 1627851 - 202498,"Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Kuzminskas,Mindaugas - Thomas,Lance",8.0,9.0
739,42.0,2.0,6.0,7.2,2546 - 201584 - 203124 - 204001 - 201565,"Anthony,Carmelo - Lee,Courtney - O'Quinn,Kyle - Porzingis,Kristaps - Rose,Derrick",12.5,12.0
740,10.0,2.0,1.0,0.0,203200 - 201943 - 1626254 - 204001 - 201565,"Holiday,Justin - Jennings,Brandon - Ndour,Maurice - Porzingis,Kristaps - Rose,Derrick",16.0,19.0
741,6.0,0.0,0.0,3.0,1626195 - 203200 - 201943 - 201584 - 204001,"Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Lee,Courtney - Porzingis,Kristaps",10.0,10.0
742,6.0,0.0,0.0,2.0,201943 - 1627851 - 201584 - 203124 - 204001,"Jennings,Brandon - Kuzminskas,Mindaugas - Lee,Courtney - O'Quinn,Kyle - Porzingis,Kristaps",10.0,8.0
743,22.0,4.0,3.0,0.0,2546 - 203200 - 201943 - 204001 - 201565,"Anthony,Carmelo - Holiday,Justin - Jennings,Brandon - Porzingis,Kristaps - Rose,Derrick",12.5,15.5
744,18.9,15.0,2.1,6.9,2546 - 201584 - 204001 - 201565 - 202498,"Anthony,Carmelo - Lee,Courtney - Porzingis,Kristaps - Rose,Derrick - Thomas,Lance",13.0,12.3
745,9.0,0.0,3.0,2.0,1626195 - 203200 - 201943 - 1626254 - 204001,"Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Ndour,Maurice - Porzingis,Kristaps",5.0,8.0
746,8.0,1.0,1.0,1.0,203200 - 201943 - 1627851 - 203124 - 204001,"Holiday,Justin - Jennings,Brandon - Kuzminskas,Mindaugas - O'Quinn,Kyle - Porzingis,Kristaps",6.0,15.0
747,6.0,0.0,0.0,5.0,201943 - 201584 - 1626254 - 204001 - 202498,"Jennings,Brandon - Lee,Courtney - Ndour,Maurice - Porzingis,Kristaps - Thomas,Lance",9.0,8.0
748,5.0,0.0,0.0,2.0,201943 - 201584 - 1626254 - 204001 - 2756,"Jennings,Brandon - Lee,Courtney - Ndour,Maurice - Porzingis,Kristaps - Vujacic,Sasha",10.0,5.0
749,6.0,0.0,0.0,1.0,2546 - 203200 - 1626254 - 203124 - 201565,"Anthony,Carmelo - Holiday,Justin - Ndour,Maurice - O'Quinn,Kyle - Rose,Derrick",13.0,8.0
750,7.0,2.0,2.0,1.0,2546 - 1626195 - 203200 - 201943 - 201565,"Anthony,Carmelo - Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Rose,Derrick",6.0,8.0
751,15.0,4.0,3.0,1.0,2546 - 1626195 - 201943 - 201584 - 1626254,"Anthony,Carmelo - Hernangomez,Willy - Jennings,Brandon - Lee,Courtney - Ndour,Maurice",7.5,8.0
752,40.8,13.2,4.8,6.0,2546 - 203200 - 201149 - 204001 - 201565,"Anthony,Carmelo - Holiday,Justin - Noah,Joakim - Porzingis,Kristaps - Rose,Derrick",8.0,10.8
753,15.0,3.0,0.0,4.0,1626195 - 201943 - 1627851 - 204001 - 2756,"Hernangomez,Willy - Jennings,Brandon - Kuzminskas,Mindaugas - Porzingis,Kristaps - Vujacic,Sasha",6.5,11.0
754,8.0,0.0,0.0,1.0,203200 - 201943 - 1626254 - 203124 - 202498,"Holiday,Justin - Jennings,Brandon - Ndour,Maurice - O'Quinn,Kyle - Thomas,Lance",6.0,5.0
755,11.0,0.0,4.0,1.0,2546 - 203200 - 1627851 - 201149 - 201565,"Anthony,Carmelo - Holiday,Justin - Kuzminskas,Mindaugas - Noah,Joakim - Rose,Derrick",10.0,7.0
756,4.0,5.0,0.0,3.0,1627758 - 203200 - 201943 - 1626254 - 204001,"Baker,Ron - Holiday,Justin - Jennings,Brandon - Ndour,Maurice - Porzingis,Kristaps",3.0,6.0
757,6.0,4.0,1.0,1.0,1626195 - 203200 - 201943 - 203124 - 202498,"Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - O'Quinn,Kyle - Thomas,Lance",5.0,6.0
758,18.0,6.9,3.0,0.9,2546 - 201584 - 201149 - 201565 - 202498,"Anthony,Carmelo - Lee,Courtney - Noah,Joakim - Rose,Derrick - Thomas,Lance",5.3,9.0
759,5.0,6.0,1.0,2.0,201943 - 201584 - 201149 - 201565 - 202498,"Jennings,Brandon - Lee,Courtney - Noah,Joakim - Rose,Derrick - Thomas,Lance",11.0,13.0
760,5.0,2.0,0.0,1.0,201943 - 201584 - 204001 - 201565 - 202498,"Jennings,Brandon - Lee,Courtney - Porzingis,Kristaps - Rose,Derrick - Thomas,Lance",10.0,7.0
761,12.0,2.0,0.0,3.0,1626195 - 203200 - 201943 - 1627851 - 204001,"Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Kuzminskas,Mindaugas - Porzingis,Kristaps",6.0,6.5
762,24.0,9.2,1.2,1.2,2546 - 201943 - 201584 - 201149 - 201565,"Anthony,Carmelo - Jennings,Brandon - Lee,Courtney - Noah,Joakim - Rose,Derrick",7.7,8.0
763,7.0,0.0,1.0,1.0,1627758 - 203200 - 1627851 - 203124 - 2756,"Baker,Ron - Holiday,Justin - Kuzminskas,Mindaugas - O'Quinn,Kyle - Vujacic,Sasha",5.0,4.0
764,6.0,1.0,1.0,1.0,2546 - 201584 - 1626254 - 203124 - 201565,"Anthony,Carmelo - Lee,Courtney - Ndour,Maurice - O'Quinn,Kyle - Rose,Derrick",9.0,5.0
765,8.0,0.0,1.0,0.0,1627758 - 1626195 - 203200 - 201943 - 202498,"Baker,Ron - Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Thomas,Lance",12.0,7.0
766,4.0,2.0,0.0,2.0,2546 - 1626195 - 203200 - 201565 - 2756,"Anthony,Carmelo - Hernangomez,Willy - Holiday,Justin - Rose,Derrick - Vujacic,Sasha",4.0,6.0
767,7.0,0.0,1.0,1.0,1627758 - 1626195 - 201943 - 1627851 - 203124,"Baker,Ron - Hernangomez,Willy - Jennings,Brandon - Kuzminskas,Mindaugas - O'Quinn,Kyle",7.0,8.0
768,3.0,2.0,0.0,1.0,203200 - 201943 - 1626254 - 203124 - 204001,"Holiday,Justin - Jennings,Brandon - Ndour,Maurice - O'Quinn,Kyle - Porzingis,Kristaps",5.0,8.0
769,12.0,3.0,2.0,1.0,2546 - 1626195 - 201584 - 203124 - 201565,"Anthony,Carmelo - Hernangomez,Willy - Lee,Courtney - O'Quinn,Kyle - Rose,Derrick",3.5,8.5
770,5.0,2.0,0.0,0.0,2546 - 201584 - 1626254 - 201149 - 201565,"Anthony,Carmelo - Lee,Courtney - Ndour,Maurice - Noah,Joakim - Rose,Derrick",4.0,6.0
771,13.0,0.0,2.0,1.0,2546 - 201943 - 201584 - 203124 - 201565,"Anthony,Carmelo - Jennings,Brandon - Lee,Courtney - O'Quinn,Kyle - Rose,Derrick",3.0,7.0
772,6.0,2.0,1.0,0.0,203200 - 201943 - 1627851 - 201149 - 201565,"Holiday,Justin - Jennings,Brandon - Kuzminskas,Mindaugas - Noah,Joakim - Rose,Derrick",7.0,7.0
773,4.0,0.0,0.0,0.0,201943 - 1627851 - 201584 - 201149 - 204001,"Jennings,Brandon - Kuzminskas,Mindaugas - Lee,Courtney - Noah,Joakim - Porzingis,Kristaps",5.0,4.0
774,5.0,0.0,1.0,2.0,2546 - 1626195 - 203200 - 201943 - 201584,"Anthony,Carmelo - Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Lee,Courtney",7.0,5.0
775,6.0,0.0,0.0,4.0,2546 - 203200 - 204001 - 201565 - 202498,"Anthony,Carmelo - Holiday,Justin - Porzingis,Kristaps - Rose,Derrick - Thomas,Lance",10.0,3.5
776,9.0,2.0,2.0,1.0,1627758 - 201943 - 1627851 - 203124 - 2756,"Baker,Ron - Jennings,Brandon - Kuzminskas,Mindaugas - O'Quinn,Kyle - Vujacic,Sasha",9.0,8.0
777,5.0,0.0,0.0,1.0,201943 - 201149 - 204001 - 202498 - 2756,"Jennings,Brandon - Noah,Joakim - Porzingis,Kristaps - Thomas,Lance - Vujacic,Sasha",8.0,6.0
778,9.0,2.0,1.0,1.0,2546 - 201943 - 201149 - 204001 - 201565,"Anthony,Carmelo - Jennings,Brandon - Noah,Joakim - Porzingis,Kristaps - Rose,Derrick",10.5,7.0
779,11.0,2.0,1.0,1.0,2546 - 201584 - 203124 - 201565 - 202498,"Anthony,Carmelo - Lee,Courtney - O'Quinn,Kyle - Rose,Derrick - Thomas,Lance",4.5,4.5
780,4.0,2.0,0.0,1.0,1627758 - 1626195 - 1627851 - 203124 - 2756,"Baker,Ron - Hernangomez,Willy - Kuzminskas,Mindaugas - O'Quinn,Kyle - Vujacic,Sasha",6.0,4.0
781,11.0,0.0,3.0,0.0,2546 - 1626195 - 201943 - 1627851 - 201584,"Anthony,Carmelo - Hernangomez,Willy - Jennings,Brandon - Kuzminskas,Mindaugas - Lee,Courtney",6.0,6.0
782,14.1,2.1,2.1,0.9,2546 - 203200 - 201943 - 203124 - 202498,"Anthony,Carmelo - Holiday,Justin - Jennings,Brandon - O'Quinn,Kyle - Thomas,Lance",5.4,3.7
783,2.0,3.0,1.0,2.0,1627758 - 201943 - 1626254 - 204001 - 201565,"Baker,Ron - Jennings,Brandon - Ndour,Maurice - Porzingis,Kristaps - Rose,Derrick",6.0,2.0
784,4.0,0.0,0.0,1.0,1626195 - 201943 - 201584 - 204001 - 202498,"Hernangomez,Willy - Jennings,Brandon - Lee,Courtney - Porzingis,Kristaps - Thomas,Lance",4.0,2.0
785,4.0,2.0,1.0,1.0,203200 - 201584 - 204001 - 201565 - 202498,"Holiday,Justin - Lee,Courtney - Porzingis,Kristaps - Rose,Derrick - Thomas,Lance",2.0,3.0
786,5.0,0.0,0.0,0.0,2546 - 201943 - 1627851 - 201149 - 2756,"Anthony,Carmelo - Jennings,Brandon - Kuzminskas,Mindaugas - Noah,Joakim - Vujacic,Sasha",2.0,10.0
787,6.0,0.0,1.0,0.0,2546 - 201943 - 201584 - 1626254 - 202498,"Anthony,Carmelo - Jennings,Brandon - Lee,Courtney - Ndour,Maurice - Thomas,Lance",5.0,6.0
788,5.0,0.0,0.0,0.0,2546 - 201943 - 201584 - 1627850 - 201565,"Anthony,Carmelo - Jennings,Brandon - Lee,Courtney - Plumlee,Marshall - Rose,Derrick",4.0,2.0
789,2.0,4.0,1.0,3.0,1626195 - 201943 - 1627851 - 201565 - 2756,"Hernangomez,Willy - Jennings,Brandon - Kuzminskas,Mindaugas - Rose,Derrick - Vujacic,Sasha",2.0,5.0
790,7.0,4.0,1.0,0.0,203200 - 201943 - 201149 - 204001 - 201565,"Holiday,Justin - Jennings,Brandon - Noah,Joakim - Porzingis,Kristaps - Rose,Derrick",3.5,6.0
791,4.0,2.0,1.0,0.0,2546 - 203200 - 201943 - 201149 - 204001,"Anthony,Carmelo - Holiday,Justin - Jennings,Brandon - Noah,Joakim - Porzingis,Kristaps",4.0,4.0
792,5.0,0.0,0.0,0.0,203200 - 201943 - 1626254 - 204001 - 2756,"Holiday,Justin - Jennings,Brandon - Ndour,Maurice - Porzingis,Kristaps - Vujacic,Sasha",9.0,5.0
793,22.2,13.8,4.8,3.0,2546 - 203200 - 201584 - 204001 - 201565,"Anthony,Carmelo - Holiday,Justin - Lee,Courtney - Porzingis,Kristaps - Rose,Derrick",3.3,5.3
794,7.0,2.0,0.0,1.0,2546 - 203200 - 203124 - 201565 - 202498,"Anthony,Carmelo - Holiday,Justin - O'Quinn,Kyle - Rose,Derrick - Thomas,Lance",6.5,4.0
795,2.0,0.0,0.0,2.0,1626195 - 203200 - 201943 - 1627851 - 1626254,"Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Kuzminskas,Mindaugas - Ndour,Maurice",7.0,5.0
796,9.0,0.0,0.0,3.0,1626195 - 203200 - 201943 - 204001 - 202498,"Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Porzingis,Kristaps - Thomas,Lance",5.6,1.3
797,6.0,4.0,1.0,1.0,203200 - 201943 - 201584 - 201149 - 204001,"Holiday,Justin - Jennings,Brandon - Lee,Courtney - Noah,Joakim - Porzingis,Kristaps",3.5,5.5
798,6.0,2.0,0.0,2.0,203200 - 201943 - 201584 - 203124 - 202498,"Holiday,Justin - Jennings,Brandon - Lee,Courtney - O'Quinn,Kyle - Thomas,Lance",5.0,3.0
799,9.0,4.0,1.0,0.0,2546 - 203200 - 201584 - 201149 - 201565,"Anthony,Carmelo - Holiday,Justin - Lee,Courtney - Noah,Joakim - Rose,Derrick",6.5,5.0
800,4.0,0.0,2.0,1.0,1626195 - 203200 - 201943 - 1627851 - 203124,"Hernangomez,Willy - Holiday,Justin - Jennings,Brandon - Kuzminskas,Mindaugas - O'Quinn,Kyle",6.0,0.0
801,2.0,2.0,0.0,1.0,1626195 - 201943 - 1627851 - 201584 - 1626254,"Hernangomez,Willy - Jennings,Brandon - Kuzminskas,Mindaugas - Lee,Courtney - Ndour,Maurice",3.0,3.0
802,5.0,0.0,1.0,1.0,203200 - 1627851 - 201149 - 203124 - 201565,"Holiday,Justin - Kuzminskas,Mindaugas - Noah,Joakim - O'Quinn,Kyle - Rose,Derrick",4.0,6.0
803,11.1,2.1,3.0,2.1,203200 - 201584 - 201149 - 204001 - 201565,"Holiday,Justin - Lee,Courtney - Noah,Joakim - Porzingis,Kristaps - Rose,Derrick",3.7,4.0
804,6.0,0.0,3.0,1.0,2546 - 1626195 - 203200 - 201149 - 201565,"Anthony,Carmelo - Hernangomez,Willy - Holiday,Justin - Noah,Joakim - Rose,Derrick",3.0,4.0
805,4.0,0.0,0.0,1.0,2546 - 1626195 - 201584 - 1627850 - 201565,"Anthony,Carmelo - Hernangomez,Willy - Lee,Courtney - Plumlee,Marshall - Rose,Derrick",6.0,5.0
806,6.9,0.0,0.0,3.0,2546 - 201943 - 201584 - 203124 - 202498,"Anthony,Carmelo - Jennings,Brandon - Lee,Courtney - O'Quinn,Kyle - Thomas,Lance",3.7,2.7
807,16.0,10.0,3.2,3.2,2546 - 201943 - 201584 - 204001 - 201565,"Anthony,Carmelo - Jennings,Brandon - Lee,Courtney - Porzingis,Kristaps - Rose,Derrick",5.8,6.3
808,3.0,2.0,0.0,2.0,2546 - 201149 - 204001 - 201565 - 2756,"Anthony,Carmelo - Noah,Joakim - Porzingis,Kristaps - Rose,Derrick - Vujacic,Sasha",9.0,4.0
809,6.0,0.0,2.0,0.0,1626195 - 201584 - 204001 - 201565 - 202498,"Hernangomez,Willy - Lee,Courtney - Porzingis,Kristaps - Rose,Derrick - Thomas,Lance",4.0,4.0
810,4.0,0.0,1.0,0.0,203200 - 201943 - 203124 - 204001 - 201565,"Holiday,Justin - Jennings,Brandon - O'Quinn,Kyle - Porzingis,Kristaps - Rose,Derrick",8.0,4.0
811,5.0,0.0,0.0,1.0,203200 - 201943 - 201584 - 203124 - 204001,"Holiday,Justin - Jennings,Brandon - Lee,Courtney - O'Quinn,Kyle - Porzingis,Kristaps",5.0,3.5
812,1.0,2.0,0.0,1.0,203200 - 201943 - 1626254 - 203124 - 2756,"Holiday,Justin - Jennings,Brandon - Ndour,Maurice - O'Quinn,Kyle - Vujacic,Sasha",6.0,3.0
813,13.2,5.2,1.2,1.2,203200 - 201943 - 203124 - 204001 - 202498,"Holiday,Justin - Jennings,Brandon - O'Quinn,Kyle - Porzingis,Kristaps - Thomas,Lance",3.0,4.3
814,4.0,0.0,0.0,0.0,203200 - 1627851 - 201149 - 204001 - 201565,"Holiday,Justin - Kuzminskas,Mindaugas - Noah,Joakim - Porzingis,Kristaps - Rose,Derrick",7.0,2.0
815,2.0,2.0,0.0,1.0,2546 - 1626195 - 201943 - 1627851 - 2756,"Anthony,Carmelo - Hernangomez,Willy - Jennings,Brandon - Kuzminskas,Mindaugas - Vujacic,Sasha",1.0,4.0
816,5.0,0.0,0.0,2.0,2546 - 1626195 - 201943 - 201584 - 204001,"Anthony,Carmelo - Hernangomez,Willy - Jennings,Brandon - Lee,Courtney - Porzingis,Kristaps",3.0,2.0
817,4.0,0.0,1.0,0.0,2546 - 203200 - 203124 - 204001 - 201565,"Anthony,Carmelo - Holiday,Justin - O'Quinn,Kyle - Porzingis,Kristaps - Rose,Derrick",6.0,2.0
818,4.0,0.0,0.0,0.0,2546 - 1627758 - 203200 - 201943 - 202498,"Anthony,Carmelo - Baker,Ron - Holiday,Justin - Jennings,Brandon - Thomas,Lance",8.0,2.0
819,5.0,2.0,0.0,1.0,2546 - 1626195 - 201584 - 201149 - 201565,"Anthony,Carmelo - Hernangomez,Willy - Lee,Courtney - Noah,Joakim - Rose,Derrick",4.5,4.0
820,6.0,5.1,0.0,0.0,2546 - 1626195 - 201584 - 204001 - 201565,"Anthony,Carmelo - Hernangomez,Willy - Lee,Courtney - Porzingis,Kristaps - Rose,Derrick",3.7,2.7
821,11.2,0.0,1.2,2.0,2546 - 203200 - 201943 - 201584 - 204001,"Anthony,Carmelo - Holiday,Justin - Jennings,Brandon - Lee,Courtney - Porzingis,Kristaps",3.3,3.0
