,FGA_l,FTA_l,MIN_TOT,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
0,33.0,14.0,19.8,5.0,3.0,2223 - 2605 - 101145 - 201943 - 201601,"Dalembert,Samuel - Daniels,Marquis - Ellis,Monta - Jennings,Brandon - Mbah a Moute,Luc",35.0,40.0
1,102.0,9.9,45.6,26.1,8.1,2223 - 2605 - 101145 - 201943 - 202336,"Dalembert,Samuel - Daniels,Marquis - Ellis,Monta - Jennings,Brandon - Sanders,Larry",34.0,24.7
2,27.0,8.0,12.6,5.0,2.0,2605 - 2399 - 101145 - 203089 - 200755,"Daniels,Marquis - Dunleavy,Mike - Ellis,Monta - Henson,John - Redick,JJ",36.0,28.0
3,719.2,117.8,387.5,108.5,114.7,101145 - 101141 - 201943 - 201601 - 202336,"Ellis,Monta - Ilyasova,Ersan - Jennings,Brandon - Mbah a Moute,Luc - Sanders,Larry",25.0,25.8
4,215.0,35.0,117.0,27.0,35.0,2223 - 101145 - 202699 - 101141 - 201943,"Dalembert,Samuel - Ellis,Monta - Harris,Tobias - Ilyasova,Ersan - Jennings,Brandon",25.1,24.3
5,24.0,5.0,11.1,6.0,7.0,2605 - 101145 - 203089 - 101141 - 200755,"Daniels,Marquis - Ellis,Monta - Henson,John - Ilyasova,Ersan - Redick,JJ",30.0,25.0
6,20.0,2.0,11.1,1.0,2.0,101145 - 202699 - 101141 - 201943 - 2038,"Ellis,Monta - Harris,Tobias - Ilyasova,Ersan - Jennings,Brandon - Przybilla,Joel",24.0,21.0
7,455.4,96.8,242.0,66.0,55.0,2605 - 101145 - 101141 - 201943 - 202336,"Daniels,Marquis - Ellis,Monta - Ilyasova,Ersan - Jennings,Brandon - Sanders,Larry",23.7,22.2
8,38.0,5.0,22.0,4.0,4.0,2399 - 101141 - 203117 - 202327 - 2757,"Dunleavy,Mike - Ilyasova,Ersan - Lamb,Doron - Udoh,Ekpe - Udrih,Beno",13.0,26.5
9,16.0,0.0,9.9,3.0,6.0,2605 - 201943 - 202336 - 202327 - 2757,"Daniels,Marquis - Jennings,Brandon - Sanders,Larry - Udoh,Ekpe - Udrih,Beno",8.0,8.0
10,56.1,11.1,28.5,12.9,11.1,2223 - 101145 - 202699 - 203089 - 201943,"Dalembert,Samuel - Ellis,Monta - Harris,Tobias - Henson,John - Jennings,Brandon",21.3,20.3
11,240.0,42.0,139.5,28.5,46.5,2605 - 101145 - 201943 - 201601 - 202336,"Daniels,Marquis - Ellis,Monta - Jennings,Brandon - Mbah a Moute,Luc - Sanders,Larry",18.6,17.1
12,31.0,7.0,16.4,4.0,3.0,202970 - 2605 - 203089 - 200755 - 202397,"Ayon,Gustavo - Daniels,Marquis - Henson,John - Redick,JJ - Smith,Ish",12.5,16.5
13,13.0,5.0,8.2,0.0,2.0,2605 - 2399 - 203117 - 202327 - 2757,"Daniels,Marquis - Dunleavy,Mike - Lamb,Doron - Udoh,Ekpe - Udrih,Beno",13.0,16.0
14,78.0,21.0,41.0,16.0,10.0,2605 - 101145 - 201943 - 202336 - 202327,"Daniels,Marquis - Ellis,Monta - Jennings,Brandon - Sanders,Larry - Udoh,Ekpe",13.4,17.4
15,16.0,3.0,7.3,5.0,2.0,202970 - 2605 - 101145 - 203089 - 200755,"Ayon,Gustavo - Daniels,Marquis - Ellis,Monta - Henson,John - Redick,JJ",13.0,11.0
16,25.0,0.0,14.4,2.0,4.0,2399 - 203117 - 202336 - 202327 - 2757,"Dunleavy,Mike - Lamb,Doron - Sanders,Larry - Udoh,Ekpe - Udrih,Beno",10.0,17.0
17,130.0,28.0,71.0,25.0,24.0,2223 - 101145 - 101141 - 201943 - 201601,"Dalembert,Samuel - Ellis,Monta - Ilyasova,Ersan - Jennings,Brandon - Mbah a Moute,Luc",14.7,15.0
18,13.0,4.0,6.7,3.0,2.0,101145 - 203089 - 101141 - 201943 - 202397,"Ellis,Monta - Henson,John - Ilyasova,Ersan - Jennings,Brandon - Smith,Ish",13.0,17.0
