player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_RA,attempt_corner_3,attempt_mid,attempt_non_corner_3,attempt_paint,made_RA,made_corner_3,made_mid,made_non_corner_3,made_paint,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,d_freq_mid,d_freq_paint,d_freq_perim,d_freq_threes,dreb_pos,oreb_pos,pos
1713,14545,Vince Carter,N,Vince,78,Carter,Guard-Forward,Active,18,1610612763,Grizzlies,220,24,14,11,51,14,15,6,7,15,6,2.0,0.4,0.1,3.4,1.9,1.4,14.0,27.6,0.7,2.6,1.4,4.1,0.8,0.7,1.29,6.93,1.57,4.07,2.57,0.36,2.43,0.86,1.21,1.0,0.185,0.227,0.588,0.371,0.062,0.013,776.092
1717,14036,Dirk Nowitzki,N,Dirk,84,Nowitzki,Forward,Active,18,1610612742,Mavericks,245,6,2,14,12,5,5,1,3,3,2,1.0,1.0,0.3,6.3,1.3,1.3,3.0,27.8,0.3,1.3,3.0,6.7,1.0,1.0,1.67,10.67,3.67,5.33,3.67,0.33,4.33,1.33,2.67,1.33,0.156,0.344,0.5,0.344,0.116,0.006,164.128
1718,14285,Paul Pierce,N,Paul,79,Pierce,Forward,Active,18,1610612746,Clippers,235,0,2,0,3,1,0,2,0,1,1,0.5,0.0,0.0,0.0,0.0,0.0,2.0,8.6,0.0,1.5,0.0,0.0,0.0,0.0,,2.5,,1.5,1.5,,0.5,,0.5,0.5,,,0.6,0.6,0.0,0.0,29.88
1891,14313,Jason Terry,N,Jason,74,Terry,Guard,Active,17,1610612749,Bucks,185,6,13,4,3,1,4,4,1,2,0,1.4,0.1,0.0,1.3,0.5,0.5,8.0,18.1,0.1,1.1,0.5,1.4,0.6,0.4,0.86,5.14,0.71,3.57,2.43,0.57,2.57,0.71,1.29,0.71,0.167,0.139,0.694,0.472,0.034,0.003,292.632
1897,13524,Metta World Peace,N,Metta,79,World Peace,Forward,Active,16,1610612747,Lakers,260,2,1,0,1,0,0,0,0,0,0,0.0,0.0,0.3,0.0,1.0,0.5,4.0,2.9,0.3,1.0,0.3,0.3,0.3,0.0,0.0,1.33,1.0,0.33,0.33,0.0,0.67,0.67,0.0,0.0,0.0,0.75,0.25,0.25,0.0,0.039,25.64
1938,14362,Manu Ginobili,N,Manu,78,Ginobili,Guard,Active,14,1610612759,Spurs,205,20,8,14,32,11,11,4,2,13,5,2.3,0.2,0.4,2.4,1.2,1.2,13.0,19.1,0.3,1.5,1.5,2.7,0.9,1.5,0.85,4.08,0.77,2.46,1.77,0.24,1.62,0.46,0.92,0.46,0.207,0.189,0.604,0.434,0.061,0.008,511.132
2034,13426,Mike Miller,N,Mike,80,Miller,Guard-Forward,Active,16,1610612743,Nuggets,218,0,0,0,4,0,0,0,0,3,0,0.7,0.0,0.0,0.7,0.0,0.0,3.0,4.4,0.0,0.3,0.0,0.7,0.0,0.3,,2.0,,1.5,1.5,,1.0,,0.5,0.5,,,0.75,0.75,0.069,0.0,28.88
2037,13396,Jamal Crawford,N,Jamal,77,Crawford,Guard,Active,16,1610612746,Clippers,195,21,13,41,43,24,14,2,19,16,7,2.1,0.1,0.4,1.3,2.2,2.0,15.0,23.8,0.1,1.1,1.5,1.5,0.9,1.2,0.81,4.67,0.93,2.93,1.67,0.2,2.0,0.6,1.2,0.67,0.171,0.2,0.629,0.357,0.027,0.003,743.288
2199,12470,Tyson Chandler,N,Tyson,85,Chandler,Center,Active,15,1610612756,Suns,240,30,0,1,0,2,22,0,0,0,1,0.5,0.4,0.3,10.1,2.1,1.4,8.0,27.8,2.1,3.3,1.6,12.3,0.5,1.4,3.25,12.13,6.13,2.75,1.0,0.88,4.88,3.0,1.0,0.25,0.268,0.505,0.227,0.082,0.168,0.035,482.348
2200,13288,Pau Gasol,N,Pau,84,Gasol,Center-Forward,Active,15,1610612759,Spurs,250,27,6,70,8,32,18,3,37,3,11,2.6,1.3,0.7,5.9,2.4,1.5,14.0,25.9,1.2,1.9,2.4,7.1,0.3,1.2,2.35,10.57,5.36,2.86,1.0,0.85,5.5,3.29,1.36,0.57,0.223,0.507,0.27,0.095,0.118,0.024,702.256
2207,12930,Joe Johnson,N,Joe,79,Johnson,Forward-Guard,Active,15,1610612762,Jazz,240,13,16,37,26,27,11,7,10,12,15,2.2,0.1,0.1,3.1,1.1,1.0,15.0,25.0,0.5,0.9,1.3,3.5,0.6,0.6,1.2,7.6,1.73,4.67,2.93,0.54,3.27,1.0,1.73,1.13,0.158,0.228,0.614,0.386,0.064,0.01,719.22
2210,13303,Richard Jefferson,N,Richard,79,Jefferson,Forward,Active,15,1610612739,Cavaliers,233,13,6,6,15,5,8,2,2,3,2,0.8,0.1,0.3,2.4,0.8,0.5,12.0,18.7,0.3,1.5,1.2,2.7,0.3,0.6,1.5,7.58,1.0,5.08,3.0,0.59,2.75,0.58,1.58,0.75,0.198,0.132,0.67,0.396,0.063,0.007,457.724
2216,12913,Zach Randolph,N,Zach,81,Randolph,Forward,Active,15,1610612763,Grizzlies,260,60,3,56,11,46,38,1,25,3,19,1.0,0.0,1.0,6.1,2.4,1.9,14.0,21.9,1.9,1.9,2.7,8.0,0.4,1.4,1.07,6.36,2.86,2.43,1.5,0.56,3.21,1.79,0.86,0.43,0.169,0.449,0.382,0.236,0.136,0.041,633.32
2225,12608,Tony Parker,N,Tony,74,Parker,Guard,Active,15,1610612759,Spurs,185,21,6,25,2,20,12,1,9,2,10,4.8,0.1,0.6,1.9,2.1,1.7,9.0,25.9,0.2,1.9,2.0,2.1,0.4,1.2,1.66,8.44,1.78,5.0,3.78,1.0,3.89,0.78,2.11,1.22,0.197,0.211,0.592,0.447,0.038,0.004,449.856
2365,14018,Chris Andersen,N,Chris,82,Andersen,Forward-Center,Active,14,1610612739,Cavaliers,245,6,0,2,1,0,2,0,1,0,0,0.3,0.5,0.3,1.5,1.5,1.0,4.0,7.5,1.3,1.0,1.0,2.8,0.5,0.8,1.0,2.75,1.25,0.5,0.25,0.5,1.25,0.5,0.25,0.0,0.363,0.455,0.182,0.091,0.099,0.082,60.72
2399,13217,Mike Dunleavy,N,Mike,81,Dunleavy,Guard-Forward,Active,14,1610612739,Cavaliers,230,8,12,3,18,3,5,5,2,4,0,0.9,0.2,0.2,2.0,0.7,0.5,11.0,16.7,0.1,1.5,0.6,2.1,0.4,0.5,1.28,6.09,1.45,3.36,2.18,0.63,2.27,0.73,0.91,0.45,0.209,0.239,0.552,0.358,0.059,0.003,376.24
2403,12489,Nene,N,Nene,83,Hilario,Center-Forward,Active,14,1610612745,Rockets,250,39,0,15,3,5,24,0,7,2,4,1.2,0.6,0.5,2.7,2.8,1.8,12.0,19.3,1.5,2.8,2.3,4.2,0.5,1.8,2.0,7.83,3.75,2.08,0.92,0.75,4.08,2.58,0.75,0.25,0.255,0.479,0.266,0.117,0.065,0.037,490.168
2440,13407,Matt Barnes,N,Matt,79,Barnes,Forward,Active,13,1610612758,Kings,226,21,18,13,42,7,13,3,4,18,2,2.3,0.4,0.3,3.8,1.2,0.9,14.0,25.3,1.0,2.7,1.0,4.8,0.7,2.0,1.35,9.21,2.5,5.36,3.93,0.5,4.57,2.07,2.0,1.64,0.148,0.271,0.581,0.426,0.074,0.019,722.14
2449,13355,Luis Scola,N,Luis,81,Scola,Forward,Active,9,1610612751,Nets,241,25,7,2,13,10,18,2,1,3,4,1.4,0.1,0.3,3.2,1.3,0.8,12.0,15.4,1.6,2.3,1.4,4.8,0.5,1.3,1.09,4.73,1.91,1.73,1.18,0.36,2.36,1.27,0.73,0.36,0.231,0.404,0.365,0.25,0.095,0.047,401.26
2544,11650,LeBron James,N,LeBron,80,James,Forward,Active,13,1610612739,Cavaliers,250,72,6,40,43,27,51,2,18,15,8,9.0,0.6,1.1,7.2,6.5,4.5,11.0,36.2,1.2,1.9,5.1,8.4,1.0,3.5,2.27,11.73,3.64,5.82,4.45,0.82,4.55,2.0,1.73,1.36,0.194,0.31,0.496,0.38,0.094,0.016,838.068
2546,11865,Carmelo Anthony,N,Carmelo,80,Anthony,Forward,Active,13,1610612752,Knicks,240,42,11,98,62,19,25,6,54,19,6,2.8,0.2,0.5,4.8,4.8,4.1,13.0,33.1,0.8,3.2,3.9,5.6,0.9,2.1,1.31,9.08,2.85,4.92,3.46,0.84,3.69,1.54,1.31,0.85,0.144,0.314,0.542,0.381,0.071,0.013,878.6
2547,11931,Chris Bosh,N,Chris,83,Bosh,Forward,Active,13,1610612748,Heat,235,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
