player_id,age,display_name,dleague_flag,first_name,last_name,position,roster_status,season_exp,team_id,team_name,attempt_2,attempt_3,attempt_at_rim_2,attempt_cut_run_2,attempt_drive_2,attempt_jumper_2,attempt_jumper_3,attempt_off_dribble_2,attempt_off_dribble_3,attempt_post_2,made_2,made_3,made_at_rim_2,made_cut_run_2,made_drive_2,made_jumper_2,made_jumper_3,made_off_dribble_2,made_off_dribble_3,made_post_2,total_attempt,total_made,catch_shoot_freq,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,c_dreb_game,c_oreb_game,avg_speed_def,avg_speed_off,avg_speed_tot,mi_game_def,mi_game_off,mi_game_tot,d_fga_overall,d_fga_paint,d_fga_perim,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_ppm_overall,d_ppm_paint,d_ppm_perim,pass_total
1713,14537,Vince Carter,N,Vince,Carter,Guard-Forward,Active,18,1610612763,Grizzlies,174.0,169.0,44.0,9.0,30.0,61.0,7.0,19.0,11.0,11.0,74.0,59.0,22.0,6.0,14.0,19.0,55.0,9.0,4.0,4.0,343.0,133.0,0.458,0.9,0.3,0.2,1.9,1.4,1.2,60.0,16.8,0.5,1.7,1.3,2.4,0.6,0.6,0.39,0.35,3.64,4.3,3.98,0.51,0.61,1.11,5.66,1.17,3.76,2.58,0.85,1.47,0.025,0.125,0.032,1154.4
1717,14028,Dirk Nowitzki,N,Dirk,Nowitzki,Forward,Active,18,1610612742,Mavericks,770.0,342.0,42.0,13.0,36.0,477.0,7.0,25.0,3.0,177.0,372.0,126.0,25.0,12.0,28.0,212.0,124.0,8.0,2.0,44.0,1112.0,498.0,0.521,1.8,0.7,0.2,5.8,3.7,3.3,75.0,31.5,0.7,2.1,4.0,6.5,0.7,1.1,1.24,0.4,3.44,3.9,3.68,0.88,1.05,1.93,13.37,5.11,5.76,6.32,3.0,2.24,0.012,-0.014,0.014,2814.75
1718,14277,Paul Pierce,N,Paul,Pierce,Forward,Active,18,1610612746,Clippers,155.0,239.0,12.0,1.0,21.0,82.0,5.0,11.0,1.0,28.0,69.0,74.0,2.0,0.0,13.0,32.0,74.0,7.0,0.0,8.0,394.0,143.0,0.599,1.0,0.3,0.3,2.6,1.0,0.8,68.0,18.1,0.2,1.9,0.9,2.7,0.5,0.9,0.77,0.06,3.45,3.9,3.68,0.52,0.59,1.11,6.79,2.18,3.15,3.04,1.28,1.16,-0.003,-0.016,0.001,1298.12
