,FGA_l,FTA_l,MIN_TOT,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
1797,11.0,2.0,5.6,1.0,1.0,202332 - 2546 - 101181 - 204038 - 201160,"Aldrich,Cole - Anthony,Carmelo - Calderon,Jose - Galloway,Langston - Smith,Jason",14.0,6.0
1798,9.0,3.0,5.6,0.0,1.0,202332 - 2546 - 101181 - 204038 - 202498,"Aldrich,Cole - Anthony,Carmelo - Calderon,Jose - Galloway,Langston - Thomas,Lance",11.0,13.0
1799,7.0,7.0,5.5,2.0,4.0,203112 - 202332 - 203499 - 203144 - 204037,"Acy,Quincy - Aldrich,Cole - Larkin,Shane - Shved,Alexey - Wear,Travis",11.0,9.0
1800,10.0,2.0,5.5,1.0,0.0,203112 - 101181 - 2223 - 203499 - 202697,"Acy,Quincy - Calderon,Jose - Dalembert,Samuel - Larkin,Shane - Shumpert,Iman",6.0,12.0
1801,9.0,0.0,5.5,2.0,3.0,203112 - 101181 - 2223 - 203143 - 2747,"Acy,Quincy - Calderon,Jose - Dalembert,Samuel - Prigioni,Pablo - Smith,J.R.",12.0,7.0
1802,16.0,3.0,11.0,1.0,5.0,2546 - 2223 - 203499 - 202697 - 2747,"Anthony,Carmelo - Dalembert,Samuel - Larkin,Shane - Shumpert,Iman - Smith,J.R.",14.0,11.0
1803,8.0,2.0,5.3,1.0,3.0,202332 - 204038 - 203499 - 203495 - 202498,"Aldrich,Cole - Galloway,Langston - Larkin,Shane - Ledo,Ricky - Thomas,Lance",11.0,11.0
1804,9.0,3.0,5.3,1.0,2.0,2546 - 200745 - 203501 - 203499 - 2405,"Anthony,Carmelo - Bargnani,Andrea - Hardaway Jr.,Tim - Larkin,Shane - Stoudemire,Amar'e",11.0,9.0
1805,36.0,17.0,26.0,2.0,10.0,203112 - 2546 - 101181 - 203501 - 2405,"Acy,Quincy - Anthony,Carmelo - Calderon,Jose - Hardaway Jr.,Tim - Stoudemire,Amar'e",12.8,11.4
1806,7.0,8.0,5.2,0.0,1.0,2546 - 101181 - 203499 - 201160 - 204037,"Anthony,Carmelo - Calderon,Jose - Larkin,Shane - Smith,Jason - Wear,Travis",13.0,19.0
1807,9.0,1.0,5.2,0.0,1.0,2546 - 203921 - 203501 - 203499 - 201160,"Anthony,Carmelo - Early,Cleanthony - Hardaway Jr.,Tim - Larkin,Shane - Smith,Jason",12.0,13.0
1808,10.0,8.0,5.1,2.0,0.0,203112 - 200745 - 101181 - 203921 - 203144,"Acy,Quincy - Bargnani,Andrea - Calderon,Jose - Early,Cleanthony - Shved,Alexey",7.0,11.0
1809,5.0,3.0,5.1,0.0,3.0,203112 - 101181 - 202697 - 2747 - 2405,"Acy,Quincy - Calderon,Jose - Shumpert,Iman - Smith,J.R. - Stoudemire,Amar'e",10.0,3.0
1810,55.2,9.0,30.6,7.8,7.8,202332 - 2546 - 101181 - 203501 - 201160,"Aldrich,Cole - Anthony,Carmelo - Calderon,Jose - Hardaway Jr.,Tim - Smith,Jason",12.5,7.2
1811,8.0,2.0,5.0,1.0,0.0,203112 - 202332 - 101181 - 203499 - 2747,"Acy,Quincy - Aldrich,Cole - Calderon,Jose - Larkin,Shane - Smith,J.R.",11.0,11.0
1812,16.0,1.0,10.0,0.0,6.0,203112 - 202332 - 204038 - 203501 - 202498,"Acy,Quincy - Aldrich,Cole - Galloway,Langston - Hardaway Jr.,Tim - Thomas,Lance",13.5,7.5
1813,60.8,11.2,40.0,8.0,16.0,203112 - 2546 - 101181 - 2223 - 202697,"Acy,Quincy - Anthony,Carmelo - Calderon,Jose - Dalembert,Samuel - Shumpert,Iman",8.7,7.6
1814,27.0,6.9,15.0,2.1,0.9,203112 - 204038 - 203501 - 203495 - 201160,"Acy,Quincy - Galloway,Langston - Hardaway Jr.,Tim - Ledo,Ricky - Smith,Jason",11.0,13.0
1815,22.0,7.0,10.0,4.0,1.0,202332 - 2546 - 101181 - 203501 - 203499,"Aldrich,Cole - Anthony,Carmelo - Calderon,Jose - Hardaway Jr.,Tim - Larkin,Shane",10.5,13.5
