player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_2,attempt_3,attempt_at_rim_2,attempt_cut_run_2,attempt_drive_2,attempt_jumper_2,attempt_jumper_3,attempt_off_dribble_2,attempt_off_dribble_3,attempt_post_2,made_2,made_3,made_at_rim_2,made_cut_run_2,made_drive_2,made_jumper_2,made_jumper_3,made_off_dribble_2,made_off_dribble_3,made_post_2,total_attempt,total_made,catch_shoot_freq,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,c_dreb_game,c_oreb_game,avg_speed_def,avg_speed_off,avg_speed_tot,mi_game_def,mi_game_off,mi_game_tot,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,pass_total
1897,13519,Metta World Peace,N,Metta,79,World Peace,Forward,Active,16,1610612747,Lakers,260,93.0,84.0,28.0,2.0,19.0,39.0,82.0,1.0,2.0,4.0,29.0,26.0,3.0,2.0,11.0,11.0,24.0,0.0,2.0,2.0,177.0,55.0,0.401,0.8,0.3,0.4,2.0,1.6,1.1,35.0,16.9,0.5,1.9,1.2,2.5,0.6,0.4,0.17,0.4,3.78,4.28,4.03,0.54,0.59,1.13,1.16,5.64,1.36,3.12,2.15,0.58,2.52,0.85,1.09,0.67,498.05
1938,14357,Manu Ginobili,N,Manu,78,Ginobili,Guard,Active,14,1610612759,Spurs,205,256.0,179.0,34.0,23.0,88.0,70.0,176.0,34.0,3.0,7.0,127.0,70.0,18.0,18.0,45.0,28.0,69.0,13.0,1.0,5.0,435.0,197.0,0.336,3.1,0.2,0.4,2.1,1.9,1.6,58.0,19.6,0.4,1.7,2.4,2.5,1.1,1.7,0.46,0.27,3.79,4.47,4.14,0.61,0.74,1.35,0.94,4.24,0.97,2.33,1.33,0.36,1.6,0.6,0.64,0.29,1582.24
2034,13421,Mike Miller,N,Mike,80,Miller,Guard-Forward,Active,16,1610612743,Nuggets,218,10.0,52.0,0.0,0.0,3.0,3.0,52.0,4.0,0.0,0.0,3.0,19.0,0.0,0.0,2.0,1.0,19.0,0.0,0.0,0.0,62.0,22.0,0.71,0.9,0.1,0.1,1.0,0.0,0.0,47.0,7.9,0.1,1.1,0.1,1.1,0.3,0.4,0.08,0.0,3.7,4.59,4.15,0.25,0.3,0.55,0.75,3.97,1.11,2.11,1.44,0.19,1.78,0.78,0.81,0.64,529.32
2037,13391,Jamal Crawford,N,Jamal,77,Crawford,Guard,Active,16,1610612746,Clippers,195,595.0,340.0,34.0,11.0,101.0,257.0,305.0,189.0,35.0,3.0,262.0,116.0,9.0,10.0,73.0,73.0,99.0,95.0,17.0,2.0,935.0,378.0,0.235,2.3,0.2,0.3,1.6,3.4,3.1,79.0,26.9,0.3,1.5,2.8,1.8,0.7,1.4,0.22,0.12,3.6,4.19,3.9,0.8,0.95,1.75,1.08,5.95,1.16,3.71,2.43,0.4,2.49,0.77,1.32,0.86,1938.66
2199,12465,Tyson Chandler,N,Tyson,85,Chandler,Center,Active,15,1610612756,Suns,240,313.0,1.0,219.0,17.0,9.0,48.0,1.0,1.0,0.0,19.0,183.0,0.0,151.0,13.0,3.0,8.0,0.0,0.0,0.0,8.0,314.0,183.0,0.099,1.0,0.7,0.3,6.1,2.6,1.6,66.0,24.5,2.7,2.2,2.3,8.7,0.5,1.4,1.19,1.82,3.69,4.03,3.86,0.75,0.83,1.58,1.73,9.29,4.17,3.39,1.74,0.8,4.67,2.48,1.39,0.56,2211.0
2200,13283,Pau Gasol,N,Pau,84,Gasol,Center-Forward,Active,15,1610612759,Spurs,250,926.0,69.0,170.0,19.0,76.0,503.0,69.0,14.0,0.0,144.0,443.0,24.0,93.0,15.0,44.0,218.0,24.0,8.0,0.0,65.0,995.0,467.0,0.439,4.1,2.0,0.8,8.9,4.0,3.2,72.0,31.8,2.2,2.1,3.6,11.0,0.6,2.3,2.0,1.48,3.52,4.17,3.84,0.93,1.11,2.04,3.63,14.22,7.06,3.53,0.97,1.29,6.26,3.53,1.44,0.31,4077.36
2207,12925,Joe Johnson,N,Joe,79,Johnson,Forward-Guard,Active,15,1610612762,Jazz,240,546.0,313.0,41.0,4.0,63.0,272.0,306.0,115.0,7.0,51.0,257.0,120.0,24.0,3.0,40.0,102.0,115.0,61.0,5.0,27.0,859.0,377.0,0.302,3.9,0.0,0.3,3.0,1.8,1.5,81.0,33.4,0.6,1.8,1.7,3.6,0.8,2.0,0.4,0.38,3.68,4.52,4.11,1.02,1.27,2.29,1.31,9.44,2.36,5.77,3.98,0.44,4.31,1.73,2.14,1.46,2887.65
2210,13298,Richard Jefferson,N,Richard,79,Jefferson,Forward,Active,15,1610612739,Cavaliers,233,139.0,172.0,36.0,16.0,32.0,43.0,172.0,7.0,0.0,5.0,77.0,66.0,24.0,13.0,21.0,14.0,66.0,2.0,0.0,3.0,311.0,143.0,0.526,0.8,0.2,0.1,1.5,1.2,0.8,74.0,17.9,0.2,1.7,1.1,1.7,0.4,0.6,0.31,0.07,3.89,3.97,3.93,0.56,0.61,1.17,0.94,5.77,1.19,3.64,2.42,0.33,2.47,0.85,1.29,0.89,1094.46
2216,12908,Zach Randolph,N,Zach,81,Randolph,Forward,Active,15,1610612763,Grizzlies,260,881.0,26.0,203.0,21.0,107.0,390.0,25.0,26.0,1.0,134.0,425.0,6.0,118.0,16.0,61.0,154.0,6.0,11.0,0.0,65.0,907.0,431.0,0.174,2.1,0.2,1.1,5.1,3.2,2.5,68.0,29.7,2.6,2.1,2.8,7.8,0.6,1.5,1.37,2.12,3.73,3.88,3.81,0.89,1.0,1.89,1.65,9.87,4.22,4.0,1.84,0.66,4.88,2.79,1.43,0.54,2208.64
2225,12603,Tony Parker,N,Tony,74,Parker,Guard,Active,15,1610612759,Spurs,185,645.0,65.0,84.0,40.0,124.0,204.0,64.0,186.0,1.0,7.0,323.0,27.0,42.0,29.0,83.0,74.0,26.0,94.0,1.0,1.0,710.0,350.0,0.134,5.3,0.2,0.5,2.2,2.4,1.8,72.0,27.5,0.2,1.6,2.0,2.4,0.8,1.8,0.29,0.07,3.93,5.08,4.53,0.86,1.22,2.08,1.92,8.1,1.35,4.83,2.53,0.74,3.6,0.94,1.92,0.89,3870.72
