,cluster_dist,def_comp,inertia,k_val,off_comp,s_score
680,"[0.26, 0.25, 0.14, 0.11, 0.1, 0.09, 0.05]",9,2.89275043284,7,7,0.220151221738
681,"[0.22, 0.18, 0.17, 0.14, 0.11, 0.1, 0.04, 0.04]",9,2.72851498095,8,7,0.191711804634
682,"[0.19, 0.19, 0.18, 0.12, 0.1, 0.08, 0.07, 0.04, 0.04]",9,2.56750985239,9,7,0.189010545543
683,"[0.19, 0.19, 0.17, 0.13, 0.08, 0.08, 0.06, 0.04, 0.03, 0.03]",9,2.46927961934,10,7,0.192072551936
684,"[0.17, 0.17, 0.14, 0.12, 0.1, 0.09, 0.06, 0.06, 0.04, 0.03, 0.03]",9,2.36139749559,11,7,0.186437659743
685,"[0.17, 0.13, 0.1, 0.1, 0.1, 0.09, 0.09, 0.07, 0.05, 0.04, 0.04, 0.04]",9,2.2720400176,12,7,0.180870358408
686,"[0.18, 0.16, 0.12, 0.12, 0.11, 0.07, 0.06, 0.05, 0.04, 0.04, 0.02, 0.02, 0.01]",9,2.19087307235,13,7,0.188085444932
687,"[0.16, 0.14, 0.11, 0.11, 0.1, 0.08, 0.06, 0.06, 0.06, 0.04, 0.03, 0.03, 0.02, 0.01]",9,2.06771941473,14,7,0.189147611855
688,"[0.16, 0.11, 0.1, 0.1, 0.09, 0.09, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04, 0.03, 0.03, 0.01]",9,2.02951947847,15,7,0.180351259001
689,"[0.7, 0.3]",10,5.32606767438,2,7,0.384270010073
690,"[0.34, 0.26, 0.24, 0.15]",10,3.97720147326,4,7,0.205953741126
691,"[0.34, 0.26, 0.21, 0.12, 0.06]",10,3.51124363085,5,7,0.21604857896
692,"[0.3, 0.23, 0.2, 0.11, 0.1, 0.06]",10,3.18518771201,6,7,0.214943696732
693,"[0.28, 0.26, 0.15, 0.1, 0.1, 0.05, 0.05]",10,2.95003032938,7,7,0.222827483049
694,"[0.19, 0.18, 0.15, 0.14, 0.1, 0.1, 0.08, 0.06]",10,2.78788452069,8,7,0.177125188363
695,"[0.21, 0.18, 0.17, 0.13, 0.1, 0.08, 0.06, 0.04, 0.04]",10,2.61758858928,9,7,0.192040551579
696,"[0.19, 0.16, 0.14, 0.12, 0.1, 0.09, 0.08, 0.06, 0.04, 0.04]",10,2.52590066375,10,7,0.172124372834
697,"[0.22, 0.18, 0.13, 0.13, 0.1, 0.08, 0.06, 0.04, 0.04, 0.03, 0.01]",10,2.41370659811,11,7,0.188624820503
698,"[0.18, 0.17, 0.15, 0.13, 0.07, 0.06, 0.06, 0.06, 0.05, 0.04, 0.03, 0.01]",10,2.31361894682,12,7,0.178640971224
699,"[0.15, 0.15, 0.13, 0.1, 0.1, 0.09, 0.07, 0.07, 0.04, 0.04, 0.03, 0.02, 0.02]",10,2.28359671808,13,7,0.170382147772
700,"[0.18, 0.17, 0.16, 0.12, 0.06, 0.06, 0.06, 0.04, 0.04, 0.04, 0.03, 0.02, 0.02, 0.01]",10,2.12354043993,14,7,0.194153340183
701,"[0.12, 0.12, 0.1, 0.1, 0.09, 0.07, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04, 0.03, 0.03, 0.01]",10,2.10272133785,15,7,0.168764237091
702,"[0.67, 0.33]",2,3.64185284287,2,8,0.418268570753
703,"[0.33, 0.31, 0.2, 0.16]",2,2.46645854725,4,8,0.264165320048
704,"[0.37, 0.24, 0.17, 0.12, 0.11]",2,2.13455230448,5,8,0.25083839937
705,"[0.25, 0.2, 0.18, 0.16, 0.11, 0.1]",2,1.94555929935,6,8,0.229762849918
706,"[0.28, 0.22, 0.15, 0.14, 0.1, 0.08, 0.04]",2,1.77604394197,7,8,0.246451158662
707,"[0.19, 0.18, 0.17, 0.15, 0.11, 0.09, 0.08, 0.04]",2,1.65736345274,8,8,0.211531941899
708,"[0.2, 0.18, 0.13, 0.11, 0.1, 0.09, 0.09, 0.07, 0.04]",2,1.55839681049,9,8,0.21200805663
709,"[0.21, 0.18, 0.13, 0.1, 0.1, 0.09, 0.07, 0.07, 0.03, 0.02]",2,1.50278277065,10,8,0.210412074061
710,"[0.21, 0.13, 0.12, 0.09, 0.09, 0.09, 0.08, 0.06, 0.05, 0.05, 0.04]",2,1.42741246472,11,8,0.194344156318
711,"[0.2, 0.17, 0.12, 0.08, 0.08, 0.07, 0.07, 0.06, 0.05, 0.04, 0.04, 0.03]",2,1.39232335477,12,8,0.199658125616
712,"[0.15, 0.14, 0.12, 0.11, 0.11, 0.08, 0.06, 0.06, 0.05, 0.04, 0.04, 0.03, 0.02]",2,1.33191626662,13,8,0.180106152664
713,"[0.15, 0.13, 0.12, 0.09, 0.07, 0.07, 0.07, 0.07, 0.06, 0.05, 0.04, 0.03, 0.03, 0.03]",2,1.273274152,14,8,0.184859859233
714,"[0.13, 0.12, 0.09, 0.09, 0.08, 0.08, 0.07, 0.07, 0.07, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02]",2,1.23122466328,15,8,0.185189488733
715,"[0.68, 0.32]",3,4.05237048005,2,8,0.4211884567
716,"[0.3, 0.28, 0.21, 0.2]",3,2.66593923052,4,8,0.267175196544
717,"[0.33, 0.23, 0.2, 0.14, 0.1]",3,2.38051368807,5,8,0.253059015439
718,"[0.28, 0.18, 0.17, 0.17, 0.11, 0.1]",3,2.12904087004,6,8,0.234537176258
719,"[0.3, 0.18, 0.16, 0.15, 0.1, 0.08, 0.04]",3,1.9568449064,7,8,0.243603291509
720,"[0.23, 0.17, 0.16, 0.12, 0.11, 0.1, 0.08, 0.04]",3,1.80442742101,8,8,0.23166152682
721,"[0.2, 0.17, 0.15, 0.11, 0.1, 0.09, 0.08, 0.07, 0.04]",3,1.69699137524,9,8,0.222995363707
722,"[0.22, 0.17, 0.13, 0.1, 0.1, 0.08, 0.08, 0.07, 0.04, 0.02]",3,1.63488304887,10,8,0.223021378301
723,"[0.18, 0.14, 0.11, 0.1, 0.1, 0.09, 0.07, 0.07, 0.06, 0.05, 0.04]",3,1.5459506323,11,8,0.20268876627
724,"[0.17, 0.17, 0.13, 0.1, 0.08, 0.06, 0.06, 0.06, 0.06, 0.05, 0.04, 0.03]",3,1.47004359916,12,8,0.20971553563
725,"[0.14, 0.14, 0.12, 0.09, 0.08, 0.08, 0.07, 0.07, 0.06, 0.05, 0.04, 0.03, 0.03]",3,1.41429050148,13,8,0.19728164832
726,"[0.13, 0.13, 0.12, 0.09, 0.07, 0.07, 0.06, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04]",3,1.37587386154,14,8,0.19409759591
727,"[0.14, 0.13, 0.11, 0.1, 0.1, 0.06, 0.06, 0.06, 0.06, 0.04, 0.04, 0.03, 0.03, 0.03, 0.02]",3,1.33512905427,15,8,0.199724097965
728,"[0.67, 0.33]",4,4.0450063098,2,8,0.415182505868
729,"[0.32, 0.27, 0.21, 0.2]",4,2.72470386206,4,8,0.256234406025
730,"[0.33, 0.23, 0.21, 0.14, 0.1]",4,2.43653497557,5,8,0.240368442098
