player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_2,attempt_3,attempt_at_rim_2,attempt_cut_run_2,attempt_drive_2,attempt_jumper_2,attempt_jumper_3,attempt_off_dribble_2,attempt_off_dribble_3,attempt_post_2,made_2,made_3,made_at_rim_2,made_cut_run_2,made_drive_2,made_jumper_2,made_jumper_3,made_off_dribble_2,made_off_dribble_3,made_post_2,total_attempt,total_made,catch_shoot_freq,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,c_dreb_game,c_oreb_game,avg_speed_def,avg_speed_off,avg_speed_tot,mi_game_def,mi_game_off,mi_game_tot,d_fga_overall,d_fga_paint,d_fga_perim,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_ppm_overall,d_ppm_paint,d_ppm_perim,pass_total
1891,14307,Jason Terry,N,Jason,74,Terry,Guard,Active,17,1610612749,Bucks,185,123.0,323.0,10.0,4.0,21.0,56.0,307.0,31.0,16.0,0.0,62.0,126.0,4.0,2.0,12.0,24.0,124.0,19.0,2.0,0.0,446.0,188.0,0.652,1.9,0.2,0.1,1.4,0.6,0.5,77.0,21.3,0.2,1.5,0.4,1.6,0.9,1.0,0.13,0.04,3.89,4.61,4.25,0.7,0.81,1.51,6.43,1.28,3.96,2.58,0.91,1.26,-0.03,0.119,-0.042,2197.92
1897,13518,Metta World Peace,N,Metta,79,World Peace,Forward,Active,16,1610612747,Lakers,260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1905,13055,Andrei Kirilenko,N,Andrei,0,Kirilenko,,Inactive,12,0,,0,5.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.3,0.9,0.6,0.4,7.0,5.2,0.3,0.1,0.3,1.1,0.1,0.1,0.29,0.14,4.35,4.86,4.46,0.18,0.21,0.39,1.83,0.5,1.0,0.67,0.33,0.33,-0.063,0.098,-0.026,37.94
1938,14356,Manu Ginobili,N,Manu,78,Ginobili,Guard,Active,14,1610612759,Spurs,205,331.0,258.0,99.0,8.0,66.0,113.0,247.0,35.0,11.0,1.0,162.0,89.0,49.0,2.0,50.0,39.0,85.0,16.0,4.0,0.0,589.0,251.0,0.323,4.2,0.3,0.5,2.6,2.9,2.1,70.0,22.7,0.4,2.0,3.2,3.0,1.0,2.2,0.59,0.12,3.68,4.56,4.12,0.69,0.86,1.56,4.44,1.01,2.53,1.96,0.67,1.0,-0.005,0.06,0.034,2248.4
2030,14201,Kenyon Martin,N,Kenyon,0,Martin,,Inactive,14,0,,0,22.0,0.0,9.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,9.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,22.0,9.0,0.238,0.5,0.5,0.3,1.2,0.2,0.2,11.0,9.5,0.5,1.2,0.1,1.7,0.5,0.3,0.54,0.18,3.73,3.99,3.82,0.32,0.34,0.65,4.71,1.71,2.0,1.57,0.71,0.71,-0.116,-0.2,-0.019,80.0
2034,13420,Mike Miller,N,Mike,80,Miller,Guard-Forward,Active,16,1610612743,Nuggets,218,16.0,98.0,2.0,0.0,0.0,12.0,96.0,2.0,2.0,0.0,5.0,32.0,2.0,0.0,0.0,3.0,31.0,0.0,1.0,0.0,114.0,37.0,0.827,0.9,0.1,0.1,1.7,0.1,0.1,52.0,13.5,0.1,1.4,0.1,1.8,0.3,0.4,0.27,0.02,3.83,4.27,4.06,0.41,0.49,0.9,5.36,1.0,3.69,2.33,0.67,1.38,0.004,0.071,0.013,809.0
2037,13390,Jamal Crawford,N,Jamal,77,Crawford,Guard,Active,16,1610612746,Clippers,195,475.0,364.0,33.0,5.0,37.0,285.0,348.0,97.0,16.0,2.0,213.0,119.0,12.0,3.0,26.0,103.0,112.0,58.0,7.0,0.0,839.0,332.0,0.291,2.5,0.2,0.3,1.7,3.9,3.5,64.0,26.6,0.3,1.7,2.6,1.9,0.9,1.4,0.29,0.13,3.6,4.11,3.84,0.81,0.9,1.71,5.83,0.97,3.94,2.48,0.67,1.45,-0.002,0.086,0.015,1506.56
2045,13757,Hedo Turkoglu,N,Hedo,82,Turkoglu,Forward,Active,14,1610612746,Clippers,220,49.0,139.0,6.0,1.0,5.0,33.0,138.0,1.0,1.0,1.0,23.0,60.0,4.0,0.0,5.0,12.0,59.0,1.0,1.0,0.0,188.0,83.0,0.5,0.6,0.1,0.0,1.5,0.2,0.1,62.0,11.4,0.1,1.1,0.3,1.6,0.3,0.5,0.34,0.04,3.84,4.24,4.04,0.36,0.4,0.77,4.4,1.19,2.42,1.88,0.62,0.96,-0.013,-0.075,0.036,749.4
2199,12464,Tyson Chandler,N,Tyson,85,Chandler,Center,Active,15,1610612756,Suns,240,440.0,0.0,245.0,6.0,4.0,69.0,0.0,1.0,0.0,6.0,293.0,0.0,182.0,5.0,2.0,26.0,0.0,0.0,0.0,4.0,440.0,293.0,0.09,1.1,1.2,0.4,7.6,3.4,2.5,75.0,30.5,3.9,2.3,3.3,11.5,0.6,1.4,2.16,3.06,3.66,3.98,3.82,0.95,0.99,1.94,14.59,7.36,3.91,6.82,4.04,1.69,-0.003,-0.047,0.053,2358.0
2200,13282,Pau Gasol,N,Pau,84,Gasol,Center-Forward,Active,15,1610612759,Spurs,250,1127.0,26.0,265.0,36.0,45.0,542.0,26.0,18.0,0.0,148.0,558.0,12.0,162.0,17.0,27.0,225.0,12.0,8.0,0.0,71.0,1153.0,570.0,0.314,2.7,1.9,0.8,9.0,4.7,3.8,78.0,34.4,2.8,1.9,4.2,11.8,0.3,2.0,2.43,1.85,3.49,4.09,3.79,0.98,1.19,2.17,14.51,7.27,3.31,6.72,3.87,1.32,-0.016,-0.066,0.012,3767.4
