player_id,display_name,blk_pos,dreb_pos,gp,oreb_pos,stl_pos,min_tot,attempt_RA_pos,attempt_paint_pos,attempt_corner_3_pos,attempt_non_corner_3_pos,attempt_mid_pos,ast_shot_pct,ast_pos,fta_pos,d_fga_paint_pct,d_fga_threes_pct,d_fga_mid_pct
1905,Andrei Kirilenko,0.011,0.136,52.0,0.06,0.037,895.9,0.0791462847473,0.0147086015902,0.00140081919907,0.0021012287986,0.0182106495879,0.69512195122,0.0509197778861,0.0848896434635,0.380618877598,0.288199212671,0.331181909732
1938,Manu Ginobili,0.022,0.224,209.0,0.037,0.096,4524.5,0.0639131883082,0.0247099315392,0.014374527482,0.0729418171399,0.0302934256851,0.592020592021,0.0945748870115,0.0616797906499,0.20829691721,0.355504131575,0.436198951216
2030,Kenyon Martin,0.052,0.144,43.0,0.059,0.045,738.1,0.0642442706495,0.0201247112878,0.0,0.000774027357223,0.0270909575028,0.708333333333,0.0438873511545,0.0165641854446,0.356395487543,0.202208513684,0.441395998773
2034,Mike Miller,0.009,0.246,184.0,0.02,0.035,2792.1,0.0110239970367,0.00721570715133,0.0192418857369,0.0583269661399,0.0290632649151,0.832727272727,0.0445770352904,0.0125473129909,0.211580185879,0.402305674593,0.386114139528
2037,Jamal Crawford,0.011,0.116,227.0,0.021,0.06,6282.1,0.0289273052026,0.0320437828349,0.0210162465974,0.0751151019072,0.0765534761991,0.461279461279,0.0474663516307,0.0699609273615,0.183806792155,0.432885362124,0.383307845721
2045,Hedo Turkoglu,0.018,0.167,100.0,0.018,0.037,1098.2,0.0178911636993,0.006286084543,0.0207924334884,0.0705975648676,0.0280456079611,0.816,0.03452511049,0.0151833118962,0.293821740522,0.35340924681,0.352769012667
2199,Tyson Chandler,0.059,0.526,204.0,0.201,0.039,5787.9,0.0824777436842,0.00706176071061,0.0,0.000181070787452,0.0106831764596,0.71884057971,0.0192840388636,0.0540858442118,0.469150613969,0.134330196287,0.396519189744
2200,Pau Gasol,0.107,0.498,224.0,0.129,0.027,7219.4,0.0692896670695,0.0533375834744,0.00372449528872,0.00491914472096,0.0919177327859,0.638852672751,0.0524380827254,0.066071140952,0.504800206759,0.0666103543265,0.428589438915
2202,Jason Richardson,0.004,0.063,19.0,0.015,0.015,416.1,0.0485166427735,0.0140854769342,0.0313010598539,0.118944027445,0.0657322256932,0.612903225806,0.0594720137224,0.0356832082334,0.301914580265,0.356406480118,0.341678939617
2203,Shane Battier,0.014,0.036,73.0,0.012,0.017,1467.3,0.0120687378514,0.00780918331561,0.0351413249202,0.039400879456,0.00319466590184,0.857142857143,0.0233210610834,0.00777368702781,0.337278106509,0.242603550296,0.420118343195
