,age,height,weight,season_exp,min_game,catch_shoot_freq,avg_speed_def,avg_speed_off,d_ppm_overall,d_ppm_paint,d_ppm_perim,attempt_at_rim_2_min,attempt_cut_run_2_min,attempt_drive_2_min,attempt_jumper_2_min,attempt_jumper_3_min,attempt_off_dribble_2_min,attempt_off_dribble_3_min,attempt_post_2_min,eff_at_rim_2,eff_cut_run_2,eff_drive_2,eff_jumper_2,eff_jumper_3,eff_off_dribble_2,eff_off_dribble_3,eff_post_2,ast_min,blk_min,blk_a_min,dreb_min,oreb_min,fta_min,stl_min,tov_min,eff_ft,ast_tov,c_dreb_min,c_oreb_min,d_fga_paint_min,d_fga_perim_min,d_fga_overall_min,d_eff_paint,d_eff_perim,d_eff_overall,mi_def_min,mi_off_min,pass_min
blk_a_min,-0.232,0.032,0.066,-0.202,0.029,-0.395,-0.073,-0.043,0.021,-0.053,0.026,0.447,0.198,0.281,0.160,-0.253,-0.047,-0.045,0.151,-0.213,-0.086,-0.077,-0.162,-0.133,-0.028,-0.046,0.063,0.002,0.274,1.000,0.177,0.351,0.412,-0.152,0.171,-0.141,-0.178,0.226,0.313,0.205,-0.001,0.143,-0.070,0.058,0.082,-0.067,-0.017,0.052
dreb_min,-0.014,0.208,0.361,0.050,0.003,-0.203,-0.251,-0.305,-0.083,-0.380,0.083,0.599,0.014,-0.244,0.149,-0.448,-0.419,-0.292,0.474,0.408,0.116,0.198,0.005,-0.248,-0.038,-0.127,0.048,-0.246,0.509,0.177,1.000,0.622,0.260,-0.123,0.039,-0.268,-0.288,0.805,0.677,0.493,-0.184,0.304,-0.379,0.118,0.097,-0.209,-0.284,0.023
oreb_min,-0.089,0.169,0.317,-0.097,-0.124,-0.393,-0.070,-0.261,-0.092,-0.344,0.071,0.816,0.132,-0.363,0.029,-0.621,-0.407,-0.311,0.485,0.415,0.213,0.065,-0.094,-0.355,0.068,-0.162,0.035,-0.391,0.605,0.351,0.622,1.000,0.252,-0.200,-0.106,-0.437,-0.455,0.666,0.907,0.523,-0.237,0.283,-0.355,0.105,0.104,-0.115,-0.213,-0.112
fta_min,-0.125,0.063,0.115,-0.025,0.247,-0.437,-0.342,-0.159,0.015,-0.052,0.111,0.372,0.259,0.345,0.231,-0.238,0.083,0.059,0.230,0.010,0.029,0.124,-0.133,-0.166,-0.016,-0.054,0.070,0.156,0.215,0.412,0.260,0.252,1.000,0.126,0.346,-0.178,-0.088,0.217,0.294,0.106,-0.151,-0.017,-0.051,0.132,0.083,-0.215,-0.221,0.043
stl_min,-0.087,-0.054,-0.113,-0.068,0.044,-0.121,0.153,0.148,0.038,0.184,-0.052,-0.226,0.055,0.145,-0.143,0.027,0.313,0.193,-0.089,-0.241,-0.085,-0.013,-0.039,-0.042,-0.007,-0.034,0.004,0.291,-0.141,-0.152,-0.123,-0.200,0.126,1.000,0.203,-0.078,0.172,-0.214,-0.190,-0.201,0.344,0.055,0.218,-0.064,-0.038,0.310,0.053,0.131
tov_min,-0.077,-0.028,-0.058,-0.036,0.090,-0.297,-0.144,0.080,0.082,0.209,0.039,-0.013,0.212,0.411,0.120,-0.009,0.299,0.223,0.039,-0.173,-0.068,0.031,-0.113,-0.079,-0.011,-0.129,0.025,0.545,-0.054,0.171,0.039,-0.106,0.346,0.203,1.000,0.025,-0.033,-0.046,-0.034,0.044,-0.075,-0.033,0.209,0.023,0.060,-0.060,0.040,0.449
eff_ft,0.198,0.020,-0.046,0.159,0.138,0.251,-0.101,-0.007,0.032,0.222,-0.131,-0.417,-0.101,0.156,0.195,0.372,0.252,0.282,-0.145,-0.246,-0.157,-0.091,0.240,0.139,0.174,0.038,-0.005,0.189,-0.338,-0.141,-0.268,-0.437,-0.178,-0.078,0.025,1.000,0.247,-0.267,-0.400,-0.300,0.063,-0.246,0.218,-0.141,-0.057,-0.160,0.033,0.072
ast_tov,0.234,0.011,-0.097,0.242,0.235,0.043,-0.097,0.183,0.024,0.281,-0.044,-0.428,-0.142,0.312,0.028,0.184,0.282,0.129,-0.276,-0.331,-0.092,0.067,0.118,0.120,0.085,0.066,-0.061,0.666,-0.359,-0.178,-0.288,-0.455,-0.088,0.172,-0.033,0.247,1.000,-0.357,-0.446,-0.417,0.068,-0.315,0.275,-0.061,-0.088,-0.022,0.103,0.441
c_dreb_min,-0.064,0.184,0.329,-0.025,-0.065,-0.167,-0.269,-0.300,-0.053,-0.358,0.057,0.620,0.014,-0.318,0.126,-0.469,-0.391,-0.280,0.461,0.379,0.124,0.139,0.017,-0.243,-0.032,-0.174,0.079,-0.321,0.579,0.226,0.805,0.666,0.217,-0.214,-0.046,-0.267,-0.357,1.000,0.730,0.578,-0.221,0.368,-0.364,0.090,0.138,-0.235,-0.311,-0.004
c_oreb_min,-0.086,0.224,0.377,-0.060,-0.092,-0.384,-0.122,-0.239,-0.105,-0.366,0.054,0.809,0.089,-0.329,0.044,-0.617,-0.432,-0.323,0.516,0.418,0.189,0.075,-0.058,-0.370,0.051,-0.151,0.026,-0.382,0.640,0.313,0.677,0.907,0.294,-0.190,-0.034,-0.400,-0.446,0.730,1.000,0.609,-0.197,0.375,-0.367,0.085,0.096,-0.105,-0.229,-0.066
d_fga_paint_min,-0.075,0.105,0.218,-0.082,-0.279,-0.131,-0.079,-0.136,0.018,-0.305,-0.054,0.453,-0.049,-0.380,0.041,-0.398,-0.408,-0.293,0.368,0.464,0.216,0.080,-0.100,-0.279,0.051,-0.247,0.059,-0.347,0.550,0.205,0.493,0.523,0.106,-0.201,0.044,-0.300,-0.417,0.578,0.609,1.000,-0.038,0.737,-0.323,-0.036,0.175,-0.129,-0.100,-0.055
d_fga_perim_min,-0.133,-0.138,-0.189,-0.160,-0.235,0.059,0.169,0.190,-0.056,0.069,-0.064,-0.270,-0.145,0.004,-0.163,0.101,0.040,0.032,-0.162,-0.194,-0.125,-0.175,-0.160,0.021,-0.163,-0.055,-0.109,0.010,-0.181,-0.001,-0.184,-0.237,-0.151,0.344,-0.075,0.063,0.068,-0.221,-0.197,-0.038,1.000,0.597,0.082,-0.094,-0.177,0.250,0.152,0.091
d_fga_overall_min,-0.132,-0.007,0.061,-0.161,-0.384,-0.089,0.032,0.010,-0.020,-0.222,-0.088,0.209,-0.147,-0.321,-0.080,-0.288,-0.310,-0.216,0.199,0.293,0.122,-0.046,-0.133,-0.233,-0.066,-0.220,-0.006,-0.259,0.344,0.143,0.304,0.283,-0.017,0.055,-0.033,-0.246,-0.315,0.368,0.375,0.737,0.597,1.000,-0.279,-0.084,0.059,0.061,-0.011,0.040
d_eff_paint,0.003,-0.040,-0.135,-0.007,0.042,0.062,0.139,0.178,0.527,0.991,-0.006,-0.326,0.063,0.229,-0.042,0.297,0.293,0.227,-0.284,-0.298,-0.075,-0.076,-0.003,0.086,0.041,0.049,-0.036,0.266,-0.384,-0.070,-0.379,-0.355,-0.051,0.218,0.209,0.218,0.275,-0.364,-0.367,-0.323,0.082,-0.279,1.000,-0.022,0.421,0.141,0.177,0.117
d_eff_perim,0.002,-0.117,-0.104,0.004,0.042,0.024,-0.106,-0.078,0.578,-0.009,0.988,0.111,0.041,0.090,0.035,-0.016,-0.100,-0.176,0.067,0.029,0.022,-0.122,0.006,0.000,0.020,0.144,-0.139,-0.021,0.024,0.058,0.118,0.105,0.132,-0.064,0.023,-0.141,-0.061,0.090,0.085,-0.036,-0.094,-0.084,-0.022,1.000,0.597,-0.094,-0.059,-0.010
d_eff_overall,0.000,0.017,0.040,-0.004,-0.064,-0.016,0.051,-0.109,0.951,0.396,0.538,0.107,0.090,-0.028,0.034,-0.037,-0.138,-0.216,0.060,0.001,0.029,-0.102,-0.044,-0.063,0.184,0.056,-0.081,-0.022,0.002,0.082,0.097,0.104,0.083,-0.038,0.060,-0.057,-0.088,0.138,0.096,0.175,-0.177,0.059,0.421,0.597,1.000,-0.079,-0.030,-0.012
mi_def_min,-0.337,-0.110,-0.181,-0.393,-0.239,0.007,0.753,0.552,-0.009,0.115,-0.083,-0.048,0.100,-0.001,-0.323,0.003,0.052,-0.038,-0.243,-0.074,-0.020,-0.077,-0.191,-0.073,-0.072,0.110,-0.078,-0.074,-0.093,-0.067,-0.209,-0.115,-0.215,0.310,-0.060,-0.160,-0.022,-0.235,-0.105,-0.129,0.250,0.061,0.141,-0.094,-0.079,1.000,0.306,-0.123
mi_off_min,-0.250,-0.094,-0.210,-0.313,-0.203,0.103,0.536,0.815,0.078,0.186,-0.031,-0.266,-0.014,0.126,-0.174,0.232,0.265,0.090,-0.364,-0.168,-0.054,-0.071,-0.181,0.093,-0.076,0.124,-0.110,0.152,-0.256,-0.017,-0.284,-0.213,-0.221,0.053,0.040,0.033,0.103,-0.311,-0.229,-0.100,0.152,-0.011,0.177,-0.059,-0.030,0.306,1.000,0.262
pass_min,0.059,-0.029,-0.085,0.077,0.126,-0.215,-0.130,0.253,0.018,0.134,0.000,-0.121,-0.049,0.325,0.068,-0.055,0.277,0.117,-0.089,-0.204,-0.109,0.014,0.020,-0.031,0.015,-0.067,-0.053,0.693,-0.119,0.052,0.023,-0.112,0.043,0.131,0.449,0.072,0.441,-0.004,-0.066,-0.055,0.091,0.040,0.117,-0.010,-0.012,-0.123,0.262,1.000
